OBJECTID,county,trust_name,lease_status,lessee,township,range,section,aliquot,acres,trs - Copy
144839,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,10,ALL EX CONDEMNATION 95-98643 LY IN NENENENE,639.92,20N - 11E - 10
144844,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,12E,18,LOTS 2 3 4 E2SW SE AND LOT 1 E2NW S2S2SWSWNWNE S2NE LY S OF CONDEMNATION 95-98643,485.06,20N - 12E - 18
144845,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,18,LOTS 1 THRU 4 E2W2 E2,715.55,20N - 11E - 18
144846,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,14,ALL,640,20N - 11E - 14
144848,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,10E,14,ALL,640,20N - 10E - 14
144855,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,11E,18,E2E2,160,19N - 11E - 18
144858,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,12E,34,ALL,640,20N - 12E - 34
144860,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,34,ALL,640,20N - 11E - 34
144862,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,14E,30,ALL,640,19N - 14E - 30
144863,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,14E,28,ALL,640,19N - 14E - 28
144864,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,14E,26,ALL,640,19N - 14E - 26
144874,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,14E,10,ALL,640,19N - 14E - 10
