state,managing_agency,rights_type,state_enabling_act,OBJECTID,TRACTID,county,township,range,section,aliquot,TRUST,,trust_name,net_acres,acres,lease_status,lessee
ND,Commissioner of University and School Lands,Subsurface,"446 Stat. 676-684, esp. 679-81 (1889)",126690,2811460,MCLEAN,149,89,21,SW4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"447 Stat. 676-684, esp. 679-81 (1889)",126693,2811450,MCLEAN,149,89,21,SE4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"448 Stat. 676-684, esp. 679-81 (1889)",126817,1309980,DUNN,149,92,2,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,106.969999999999999,106.969999999999999,Y,OASIS PETROLEUM NORTH AMERICA LLC
ND,Commissioner of University and School Lands,Subsurface,"449 Stat. 676-684, esp. 679-81 (1889)",126822,2811160,MCLEAN,149,88,19,"E2SW4, LOTS 3,4",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,79.359999999999999,158.719999999999999,,N/A
ND,Commissioner of University and School Lands,Subsurface,"450 Stat. 676-684, esp. 679-81 (1889)",126861,2805250,MCLEAN,147,87,21,NE4,N,ND STATE UNIVERSITY,ND STATE UNIVERSITY,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"451 Stat. 676-684, esp. 679-81 (1889)",126926,1312050,DUNN,148,91,35,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,137.949999999999989,137.949999999999989,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"452 Stat. 676-684, esp. 679-81 (1889)",126929,2811240,MCLEAN,149,89,2,SE4,B,SCHOOL FOR THE BLIND,SCHOOL FOR THE BLIND,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"453 Stat. 676-684, esp. 679-81 (1889)",126932,2811230,MCLEAN,149,89,1,SW4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"454 Stat. 676-684, esp. 679-81 (1889)",126934,2811220,MCLEAN,149,89,1,NW4SE4,A,COMMON SCHOOLS,COMMON SCHOOLS,20.000000000000000,40.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"455 Stat. 676-684, esp. 679-81 (1889)",126941,2810951,MCLEAN,149,88,6,"E2SW4, LOTS 6,7",A,COMMON SCHOOLS,COMMON SCHOOLS,78.530000000000001,157.060000000000002,,N/A
