object_id,state,reservation_name,clipped_acres,lessee
25962,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.13,
25954,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.96,
25953,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.23,
25960,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.81,
25961,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.56,
25194,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.15,
25196,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.94,
25195,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.48,
25966,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.7,
25227,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.68,
25226,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.77,
25223,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.66,
25191,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.08,
25418,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.81,
25419,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.59,
25416,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.79,
25417,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.76,
25967,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.18,
25134,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.53,
25228,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.77,
25225,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.02,
25224,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.03,
25190,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.57,
25421,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.39,
25420,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.95,
25133,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.53,
25959,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.16,
25956,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.09,
25957,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.55,
25955,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.85,
25958,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.9,
25987,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.02,
25132,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.99,
25991,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.37,
25989,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.13,
25415,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.85,
25414,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.38,
25969,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.06,
