state,managing_agency,rights_type,state_enabling_act,OBJECTID,TIMBER_TRU,trust_name,state_reported_notes,,,,,,
WA,Department of Natural Resources,Timber,"106 Stat. 676-684, esp. 679-81 (1889)",6349,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"107 Stat. 676-684, esp. 679-81 (1889)",6440,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"108 Stat. 676-684, esp. 679-81 (1889)",6480,8,Normal School,,,,,,,
WA,Department of Natural Resources,Timber,"109 Stat. 676-684, esp. 679-81 (1889)",6482,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"110 Stat. 676-684, esp. 679-81 (1889)",6569,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"111 Stat. 676-684, esp. 679-81 (1889)",6703,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"112 Stat. 676-684, esp. 679-81 (1889)",6788,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"113 Stat. 676-684, esp. 679-81 (1889)",6858,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"114 Stat. 676-684, esp. 679-81 (1889)",6861,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"115 Stat. 676-684, esp. 679-81 (1889)",41,9,Escheat,,,,,,,
WA,Department of Natural Resources,Timber,"116 Stat. 676-684, esp. 679-81 (1889)",221,9,Escheat,,,,,,,
WA,Department of Natural Resources,Timber,"117 Stat. 676-684, esp. 679-81 (1889)",251,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"118 Stat. 676-684, esp. 679-81 (1889)",252,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"119 Stat. 676-684, esp. 679-81 (1889)",313,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"120 Stat. 676-684, esp. 679-81 (1889)",316,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"121 Stat. 676-684, esp. 679-81 (1889)",317,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"122 Stat. 676-684, esp. 679-81 (1889)",318,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"123 Stat. 676-684, esp. 679-81 (1889)",369,3,Common School and Indemnity,,,,,,,
