OBJECTID,PARCEL_SYS,PARCEL_TYP,PARCEL_LAB,PARCEL_NM,REVERSION_,OWN_RIGHT_,SURFACE_RI,MINERAL_RI,TIMBER_RIG,SURFACE_TR,MINERAL_TR,TIMBER_TRU,OWNER_AGEN,STEWARD_AG,MANAGER_AG,TIMBER_OWN,TIMBER_EXP,ORIGINAL_P,COUNTY_JUR,COUNTY_PAR,REGION_JUR,HCP_JURISD,HCP_DESG_C,HCP_DESG_D,HCP_WITHDR,PARCEL_DES,EDIT_DATE,EDIT_STATU,EDIT_WHO,EASEMENT_T,PARCEL_ACQ,PARCEL_DIS,SHAPE.AREA,SHAPE.LEN
6569,2970,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2018/06/20 20:25:07.000,"1",TSTE490,,,,18898269.139290001243353,18406.105508233900764
6703,3044,1,,,N,N,Y,Y,Y,"10","10","10",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,,,1791657.518099999986589,5354.405563532440283
6788,3039,1,,,N,N,Y,Y,Y,"10","10","10",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,CLEAR LIST 5 SCIENTIFIC,,3534152.011620000004768,7981.355176750570536
6858,3036,1,,,N,N,Y,Y,Y,"10","10","10",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2015/07/22 20:37:14.000,"1",JDUG490,,CLEAR LIST 5 SCIENTIFIC,,12097057.245714999735355,18516.293147217500518
6861,3130,1,,,N,N,Y,Y,Y,"10","10","10",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2015/07/22 20:37:14.000,"1",JDUG490,,CLEAR LIST 5 SCIENTIFIC,,13690934.915968999266624,15659.249252385199725
41,15579,1,,,N,N,Y,Y,Y,"9","9","9",58706,63986,63986,,,,39,,100,,"2",,1997/01/30 03:00:00.000,,2021/11/10 19:46:08.000,"1",TSTE490,,,,5599.986289999999826,359.999202188005029
221,10816,1,,,N,N,Y,Y,Y,"9","9","9",58706,63986,63986,,,,39,,100,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,,,5419149.547564999200404,10719.031590164200679
251,10494,1,,,N,N,Y,Y,Y,"6","6","6",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/08/18 03:00:00.000,"1",jdug490,,CLEAR LIST 6 CEP&RI,,27109748.283805001527071,20849.776610210301442
252,10493,1,,,N,N,Y,Y,Y,"6","6","6",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/08/18 03:00:00.000,"1",jdug490,,CLEAR LIST 6 CEP&RI,,7064252.850844999775290,13223.192793145501128
313,10488,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",2005/09/24 03:00:00.000,,,2011/08/19 03:00:00.000,"1",jdug490,,CLEAR LIST 11 INDEMNITY,,27582908.765246998518705,21006.578121248599928
316,113079,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/08/19 03:00:00.000,"0",jdug490,,CLEAR LIST 11 INDEMNITY,,25026145.510389499366283,21409.435649060902506
317,10496,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/08/19 03:00:00.000,"1",jdug490,,,,6863297.066837999969721,13058.244465568199303
318,2956,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2011/08/19 03:00:00.000,"1",jdug490,,,,11334641.800644500181079,16223.997715720099222
369,3023,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/30 03:00:00.000,"1",jdug490,,,,5368491.437959499657154,10703.991042893499980
375,3022,1,,,N,N,Y,Y,Y,"1","1","1",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/30 03:00:00.000,"1",jdug490,,,,3616457.460884999949485,8088.972323671380764
379,3132,1,,,N,N,N,Y,N,"0","10","0",58706,63986,63986,,,,20,,100,,"2",,1997/01/30 03:00:00.000,,2012/02/23 03:00:00.000,"1",jdug490,,CLEAR LIST 5 SCIENTIFIC,,17273266.697709001600742,20953.821126737901068
472,3053,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-70-0084,,7249647.480248999781907,10774.531812902001548
587,10583,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,,,27624292.078186001628637,21024.457609927401791
614,2967,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,,,27830531.773409504443407,21115.153810903302656
666,3287,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,20,,100,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,,,5476485.569029999896884,9721.246484555529605
