state,managing_agency,rights_type,state_enabling_act,OBJECTID,MINERAL_TR,,state_reported_notes,,
WA,Department of Natural Resources,Subsurface,"154 Stat. 676-684, esp. 679-81 (1889)",18572,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"155 Stat. 676-684, esp. 679-81 (1889)",7061,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"156 Stat. 676-684, esp. 679-81 (1889)",7062,1,State Forest Transfer,,,
WA,Department of Natural Resources,Subsurface,"157 Stat. 676-684, esp. 679-81 (1889)",7198,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"158 Stat. 676-684, esp. 679-81 (1889)",7298,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"159 Stat. 676-684, esp. 679-81 (1889)",7330,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"160 Stat. 676-684, esp. 679-81 (1889)",7505,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"161 Stat. 676-684, esp. 679-81 (1889)",7514,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"162 Stat. 676-684, esp. 679-81 (1889)",7726,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"163 Stat. 676-684, esp. 679-81 (1889)",7779,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"164 Stat. 676-684, esp. 679-81 (1889)",7822,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"165 Stat. 676-684, esp. 679-81 (1889)",8009,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"166 Stat. 676-684, esp. 679-81 (1889)",8073,9,Escheat,,,
WA,Department of Natural Resources,Subsurface,"167 Stat. 676-684, esp. 679-81 (1889)",8085,9,Escheat,an undivided 1/12th interest,,
WA,Department of Natural Resources,Subsurface,"168 Stat. 676-684, esp. 679-81 (1889)",8439,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"169 Stat. 676-684, esp. 679-81 (1889)",8501,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"170 Stat. 676-684, esp. 679-81 (1889)",8763,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"171 Stat. 676-684, esp. 679-81 (1889)",9321,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"172 Stat. 676-684, esp. 679-81 (1889)",9475,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"173 Stat. 676-684, esp. 679-81 (1889)",9542,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"174 Stat. 676-684, esp. 679-81 (1889)",9613,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"175 Stat. 676-684, esp. 679-81 (1889)",9793,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"176 Stat. 676-684, esp. 679-81 (1889)",9824,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"177 Stat. 676-684, esp. 679-81 (1889)",10008,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"178 Stat. 676-684, esp. 679-81 (1889)",10151,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"179 Stat. 676-684, esp. 679-81 (1889)",10342,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"180 Stat. 676-684, esp. 679-81 (1889)",10343,3,Common School and Indemnity,Oil & gas reserved,,
WA,Department of Natural Resources,Subsurface,"181 Stat. 676-684, esp. 679-81 (1889)",10405,9,Escheat,,,
WA,Department of Natural Resources,Subsurface,"182 Stat. 676-684, esp. 679-81 (1889)",10411,75,Natural Resources Conservation Area,,,
WA,Department of Natural Resources,Subsurface,"183 Stat. 676-684, esp. 679-81 (1889)",10561,3,Common School and Indemnity,Oil & gas reserved,,
WA,Department of Natural Resources,Subsurface,"184 Stat. 676-684, esp. 679-81 (1889)",10562,3,Common School and Indemnity,Oil & gas reserved,,
WA,Department of Natural Resources,Subsurface,"185 Stat. 676-684, esp. 679-81 (1889)",10563,3,Common School and Indemnity,Oil & gas reserved,,
WA,Department of Natural Resources,Subsurface,"186 Stat. 676-684, esp. 679-81 (1889)",11094,1,State Forest Transfer,,,
WA,Department of Natural Resources,Subsurface,"187 Stat. 676-684, esp. 679-81 (1889)",11301,5,University - Transferred,,,
WA,Department of Natural Resources,Subsurface,"188 Stat. 676-684, esp. 679-81 (1889)",11302,5,University - Transferred,,,
WA,Department of Natural Resources,Subsurface,"189 Stat. 676-684, esp. 679-81 (1889)",11304,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"190 Stat. 676-684, esp. 679-81 (1889)",11306,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"191 Stat. 676-684, esp. 679-81 (1889)",11315,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"192 Stat. 676-684, esp. 679-81 (1889)",11385,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"193 Stat. 676-684, esp. 679-81 (1889)",11386,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"194 Stat. 676-684, esp. 679-81 (1889)",11624,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"195 Stat. 676-684, esp. 679-81 (1889)",11697,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"196 Stat. 676-684, esp. 679-81 (1889)",11808,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"197 Stat. 676-684, esp. 679-81 (1889)",11904,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"198 Stat. 676-684, esp. 679-81 (1889)",11907,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"199 Stat. 676-684, esp. 679-81 (1889)",11965,1,State Forest Transfer,,,
WA,Department of Natural Resources,Subsurface,"200 Stat. 676-684, esp. 679-81 (1889)",11995,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"201 Stat. 676-684, esp. 679-81 (1889)",12256,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"202 Stat. 676-684, esp. 679-81 (1889)",12258,1,State Forest Transfer,,,
WA,Department of Natural Resources,Subsurface,"203 Stat. 676-684, esp. 679-81 (1889)",12490,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"204 Stat. 676-684, esp. 679-81 (1889)",12497,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"205 Stat. 676-684, esp. 679-81 (1889)",12498,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"206 Stat. 676-684, esp. 679-81 (1889)",12572,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"207 Stat. 676-684, esp. 679-81 (1889)",12575,1,State Forest Transfer,,,
