SU_ID,SU_SUID,SU_SUIDNUM,DNRREGION,COUNTYNAME,COUN,TOWN,RDIR,RANG,SECT,FORT,GLOT,GM_CH,GS_CH,FORTDESC,PLSMATCH,SU_ACRES,SU_PCTFORT,UINT_NUMER,UINT_DENOM,INT_TYPE,INT_STATUS,LANDTYPE,MEANSACQ,LANDTYPECO,MEANSACQCO,ADMINISTRA,ADMINIST_1,MGTPRGPRJ,MGTPRJNAME,MGTPRGCODE,MGTPRGNAME,ADMPRGPRJA,DNRTRNXNUM,T_CLOSINGD,SU_CTYPIN_,DATA_DOWNL,Shape_Leng,Shape_Area
137221.00000000000,"137221",137221.00000000000,Northeast,Koochiching,"36","65","0","23","6","42","11","36065023060011","3606502306",NWSE,forty/glot-level,25.65000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",,,,,,,,,11-15-2023,1328.13374860000,104918.41583600000
137222.00000000000,"137222",137222.00000000000,Northeast,Koochiching,"36","65","0","23","6","43","14","36065023060014","3606502306",SWSE,forty/glot-level,26.31000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",,,,,,,,,11-15-2023,1342.03712762000,107724.70713000000
137223.00000000000,"137223",137223.00000000000,Northeast,Koochiching,"36","65","0","23","7","12","5","36065023070005","3606502307",NWNE,forty/glot-level,26.20000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",,,,,,,,,11-15-2023,1339.25049395000,107245.22685200001
137224.00000000000,"137224",137224.00000000000,Northeast,Koochiching,"36","65","0","23","7","13","8","36065023070008","3606502307",SWNE,forty/glot-level,25.32000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",,,,,,,,,11-15-2023,1320.56517067000,103466.92887700000
137234.00000000000,"137234",137234.00000000000,Northeast,Koochiching,"36","65","0","23","7","42","9","36065023070009","3606502307",NWSE,forty/glot-level,24.44000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",,,,,,,,,11-15-2023,1302.00224313000,99703.73584710000
137235.00000000000,"137235",137235.00000000000,Northeast,Koochiching,"36","65","0","23","7","43","12","36065023070012","3606502307",SWSE,forty/glot-level,23.56000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",,,,,,,,,11-15-2023,1283.31314809000,95924.47117380000
137348.00000000000,"137348",137348.00000000000,Northeast,Koochiching,"36","65","0","23","18","12","5","36065023180005","3606502318",NWNE,forty/glot-level,22.98000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",,,,,,,,,11-15-2023,1266.72854900000,92987.06688550000
137361.00000000000,"137361",137361.00000000000,Northeast,Koochiching,"36","65","0","23","18","42","9","36065023180009","3606502318",NWSE,forty/glot-level,22.42000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",,,,,,,,,11-15-2023,1255.88786852000,90792.69310080000
137362.00000000000,"137362",137362.00000000000,Northeast,Koochiching,"36","65","0","23","18","43","12","36065023180012","3606502318",SWSE,forty/glot-level,22.14000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",,,,,,,,,11-15-2023,1250.41931874000,89689.57012310000
137366.00000000000,"137366",137366.00000000000,Northeast,Koochiching,"36","65","0","23","19","12","5","36065023190005","3606502319",NWNE,forty/glot-level,21.61000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",,,,,,,,,11-15-2023,1238.66749711000,87389.85526290000
