OBJECTID,SU_ID,SU_SUID,SU_SUIDNUM,DNRREGION,COUNTYNAME,COUN,TOWN,RDIR,RANG,SECT,FORT,GLOT,GM_CH,GS_CH,FORTDESC,PLSMATCH,SU_ACRES,SU_PCTFORT,UINT_NUMER,UINT_DENOM,SU_NETACRE,INT_TYPE,INT_STATUS,LANDTYPE,MEANSACQ,LANDTYPECO,MEANSACQCO,OMITTYPES,PRINTACRES,MOWNSTATUS,MOWNSTAT_1,LANDCLASS,MRECTYPE,MRECTYPECO,SURFACEOFF,LAST_OFFER,LAST_PROCE,LAST_PRO_1,DATA_DOWNL,Shape_Leng,Shape_Area
"217577",200769.00000000000,"200769",200769.00000000000,Northwest,Mahnomen,"44","146","0","40","30","32","3","44146040300003","4414604030",NWSW,forty/glot-level,31.53000000000,"100","1","1",31.53000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1422.42430564000,124344.64955500000
"217578",200770.00000000000,"200770",200770.00000000000,Northwest,Mahnomen,"44","146","0","40","30","33","4","44146040300004","4414604030",SWSW,forty/glot-level,31.39000000000,"100","1","1",31.39000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1429.21246409000,125708.15517000000
"217579",200771.00000000000,"200771",200771.00000000000,Northwest,Mahnomen,"44","146","0","40","30","34","0","44146040303400","4414604030",SESW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1608.13962414000,161626.61014700000
"217588",200781.00000000000,"200781",200781.00000000000,Northwest,Mahnomen,"44","146","0","40","35","11","0","44146040351100","4414604035",NENE,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1618.24905613000,163668.32005000001
"217589",200782.00000000000,"200782",200782.00000000000,Northwest,Mahnomen,"44","146","0","40","35","22","0","44146040352200","4414604035",NWNW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1619.90123949000,163998.71618100000
"217828",199835.00000000000,"199835",199835.00000000000,Northwest,Mahnomen,"44","143","0","39","7","13","0","44143039071300","4414303907",SWNE,forty/glot-level,40.00000000000,"0","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Uncertain,U,,,,,,,"0",01-15-2024,1609.18123995000,161135.01238299999
"217830",199836.00000000000,"199836",199836.00000000000,Northwest,Mahnomen,"44","143","0","39","7","14","0","44143039071400","4414303907",SENE,forty/glot-level,40.00000000000,"0","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Uncertain,U,,,,,,,"0",01-15-2024,1610.11568035000,161320.36088900000
"217832",199837.00000000000,"199837",199837.00000000000,Northwest,Mahnomen,"44","143","0","39","7","21","0","44143039072100","4414303907",NENW,forty/glot-level,40.00000000000,"0","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Uncertain,U,,,,,,,"0",01-15-2024,1607.95832090000,160884.19286200000
"217834",199838.00000000000,"199838",199838.00000000000,Northwest,Mahnomen,"44","143","0","39","7","22","1","44143039070001","4414303907",NWNW,forty/glot-level,35.53000000000,"0","1","1",35.53000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Uncertain,U,,,,,,,"0",01-15-2024,1518.19672669000,142940.92538299999
"217838",199841.00000000000,"199841",199841.00000000000,Northwest,Mahnomen,"44","143","0","39","7","33","4","44143039070004","4414303907",SWSW,forty/glot-level,35.59000000000,"100","1","1",35.59000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1519.38964133000,143206.45534700001
