state,managing_agency,rights_type,state_enabling_act,SU_SUID,county,township,RDIR,RANG,section,aliquot,acres,percent_owned,trust_name
MN,Department of Natural Resources,Surface,3555 Stat. 166-167 (1857); 11 Stat. 285 (1858),123982,Itasca,147,0,29,22,NESE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3556 Stat. 166-167 (1857); 11 Stat. 285 (1858),123983,Itasca,147,0,29,22,NWSE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3557 Stat. 166-167 (1857); 11 Stat. 285 (1858),123984,Itasca,147,0,29,23,NENE,17,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3558 Stat. 166-167 (1857); 11 Stat. 285 (1858),123985,Itasca,147,0,29,23,NENE,30.75,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3559 Stat. 166-167 (1857); 11 Stat. 285 (1858),123986,Itasca,147,0,29,23,NWNE,32.25,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3560 Stat. 166-167 (1857); 11 Stat. 285 (1858),123987,Itasca,147,0,29,23,NENW,11,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3561 Stat. 166-167 (1857); 11 Stat. 285 (1858),123988,Itasca,147,0,29,23,NENW,33.75,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3562 Stat. 166-167 (1857); 11 Stat. 285 (1858),123989,Itasca,147,0,29,23,NWNW,35.25,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3563 Stat. 166-167 (1857); 11 Stat. 285 (1858),123990,Itasca,147,0,29,23,SWNW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3564 Stat. 166-167 (1857); 11 Stat. 285 (1858),123845,Itasca,147,0,29,12,SWNE,17.9,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3565 Stat. 166-167 (1857); 11 Stat. 285 (1858),123846,Itasca,147,0,29,12,NWNW,51.35,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3566 Stat. 166-167 (1857); 11 Stat. 285 (1858),123853,Itasca,147,0,29,12,NWSE,47.7,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3567 Stat. 166-167 (1857); 11 Stat. 285 (1858),123855,Itasca,147,0,29,12,SESE,34.8,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3568 Stat. 166-167 (1857); 11 Stat. 285 (1858),123683,Itasca,146,0,29,24,SESE,41.25,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3569 Stat. 166-167 (1857); 11 Stat. 285 (1858),123684,Itasca,146,0,29,25,NENE,21,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3570 Stat. 166-167 (1857); 11 Stat. 285 (1858),123685,Itasca,146,0,29,25,NWNE,32,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3571 Stat. 166-167 (1857); 11 Stat. 285 (1858),123686,Itasca,146,0,29,25,SWNE,41.7,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3572 Stat. 166-167 (1857); 11 Stat. 285 (1858),123687,Itasca,146,0,29,25,NESW,23.25,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3573 Stat. 166-167 (1857); 11 Stat. 285 (1858),123688,Itasca,146,0,29,25,SWSW,13.25,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3574 Stat. 166-167 (1857); 11 Stat. 285 (1858),123689,Itasca,146,0,29,26,NWNE,27.5,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3575 Stat. 166-167 (1857); 11 Stat. 285 (1858),123690,Itasca,146,0,29,26,SWNE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3576 Stat. 166-167 (1857); 11 Stat. 285 (1858),123691,Itasca,146,0,29,26,SENE,38.9,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3577 Stat. 166-167 (1857); 11 Stat. 285 (1858),123692,Itasca,146,0,29,26,NESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3578 Stat. 166-167 (1857); 11 Stat. 285 (1858),123693,Itasca,146,0,29,26,SESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3579 Stat. 166-167 (1857); 11 Stat. 285 (1858),123694,Itasca,146,0,29,26,NESE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3580 Stat. 166-167 (1857); 11 Stat. 285 (1858),123695,Itasca,146,0,29,26,NWSE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3581 Stat. 166-167 (1857); 11 Stat. 285 (1858),123696,Itasca,146,0,29,26,SWSE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3582 Stat. 166-167 (1857); 11 Stat. 285 (1858),123697,Itasca,146,0,29,26,SESE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3583 Stat. 166-167 (1857); 11 Stat. 285 (1858),123698,Itasca,146,0,29,28,NENW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3584 Stat. 166-167 (1857); 11 Stat. 285 (1858),123699,Itasca,146,0,29,29,NENW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3585 Stat. 166-167 (1857); 11 Stat. 285 (1858),123700,Itasca,146,0,29,29,NWNW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3586 Stat. 166-167 (1857); 11 Stat. 285 (1858),123701,Itasca,146,0,29,33,NWNW,7.5,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3587 Stat. 166-167 (1857); 11 Stat. 285 (1858),123702,Itasca,146,0,29,35,NENE,34.7,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3588 Stat. 166-167 (1857); 11 Stat. 285 (1858),123703,Itasca,146,0,29,35,SENE,40.9,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3589 Stat. 166-167 (1857); 11 Stat. 285 (1858),123704,Itasca,146,0,29,35,SESW,8.65,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3590 Stat. 166-167 (1857); 11 Stat. 285 (1858),123706,Itasca,146,0,29,35,NWSE,19.25,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3591 Stat. 166-167 (1857); 11 Stat. 285 (1858),123707,Itasca,147,0,29,1,SWNE,21.45,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3592 Stat. 166-167 (1857); 11 Stat. 285 (1858),123712,Itasca,147,0,29,1,NESW,35.45,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3593 Stat. 166-167 (1857); 11 Stat. 285 (1858),123714,Itasca,147,0,29,1,SESW,21.1,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3594 Stat. 166-167 (1857); 11 Stat. 285 (1858),123081,Itasca,146,0,28,5,NWNW,44.33,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3595 Stat. 166-167 (1857); 11 Stat. 285 (1858),123082,Itasca,146,0,28,5,SWNW,32.05,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3596 Stat. 166-167 (1857); 11 Stat. 285 (1858),123083,Itasca,146,0,28,6,NENE,40.27,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3597 Stat. 166-167 (1857); 11 Stat. 285 (1858),123084,Itasca,146,0,28,6,NWNE,40.2,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3598 Stat. 166-167 (1857); 11 Stat. 285 (1858),123085,Itasca,146,0,28,6,SWNE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3599 Stat. 166-167 (1857); 11 Stat. 285 (1858),123086,Itasca,146,0,28,6,SENE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3600 Stat. 166-167 (1857); 11 Stat. 285 (1858),123087,Itasca,146,0,28,6,NENW,40.12,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3601 Stat. 166-167 (1857); 11 Stat. 285 (1858),123088,Itasca,146,0,28,6,SWSW,39.91,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3602 Stat. 166-167 (1857); 11 Stat. 285 (1858),123089,Itasca,146,0,28,6,SESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3603 Stat. 166-167 (1857); 11 Stat. 285 (1858),123090,Itasca,146,0,28,7,NWNE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3604 Stat. 166-167 (1857); 11 Stat. 285 (1858),123091,Itasca,146,0,28,7,SWNE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3605 Stat. 166-167 (1857); 11 Stat. 285 (1858),123092,Itasca,146,0,28,7,SENE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3606 Stat. 166-167 (1857); 11 Stat. 285 (1858),123093,Itasca,146,0,28,7,NESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3607 Stat. 166-167 (1857); 11 Stat. 285 (1858),123094,Itasca,146,0,28,7,NWSW,39.97,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3608 Stat. 166-167 (1857); 11 Stat. 285 (1858),123095,Itasca,146,0,28,7,SWSW,39.99,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3609 Stat. 166-167 (1857); 11 Stat. 285 (1858),123096,Itasca,146,0,28,7,SESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3610 Stat. 166-167 (1857); 11 Stat. 285 (1858),123097,Itasca,146,0,28,7,NESE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3611 Stat. 166-167 (1857); 11 Stat. 285 (1858),123098,Itasca,146,0,28,7,NWSE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3612 Stat. 166-167 (1857); 11 Stat. 285 (1858),123099,Itasca,146,0,28,7,SWSE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3613 Stat. 166-167 (1857); 11 Stat. 285 (1858),123100,Itasca,146,0,28,7,SESE,39.96,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3614 Stat. 166-167 (1857); 11 Stat. 285 (1858),123101,Itasca,146,0,28,8,NWSW,12.8,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3615 Stat. 166-167 (1857); 11 Stat. 285 (1858),123102,Itasca,146,0,28,18,NENW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3616 Stat. 166-167 (1857); 11 Stat. 285 (1858),123103,Itasca,146,0,28,18,NWNW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3617 Stat. 166-167 (1857); 11 Stat. 285 (1858),123104,Itasca,146,0,28,18,SWNW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3618 Stat. 166-167 (1857); 11 Stat. 285 (1858),123105,Itasca,146,0,28,18,SENW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3619 Stat. 166-167 (1857); 11 Stat. 285 (1858),123106,Itasca,146,0,28,18,NESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3620 Stat. 166-167 (1857); 11 Stat. 285 (1858),123107,Itasca,146,0,28,18,NWSW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3621 Stat. 166-167 (1857); 11 Stat. 285 (1858),123108,Itasca,146,0,28,18,SWSW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3622 Stat. 166-167 (1857); 11 Stat. 285 (1858),123109,Itasca,146,0,28,18,SESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3623 Stat. 166-167 (1857); 11 Stat. 285 (1858),123110,Itasca,146,0,28,18,NESE,25.25,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3624 Stat. 166-167 (1857); 11 Stat. 285 (1858),123111,Itasca,146,0,28,18,SWSE,38.7,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3625 Stat. 166-167 (1857); 11 Stat. 285 (1858),123112,Itasca,146,0,28,19,NWNW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3626 Stat. 166-167 (1857); 11 Stat. 285 (1858),123113,Itasca,146,0,28,19,SWSW,55,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3627 Stat. 166-167 (1857); 11 Stat. 285 (1858),123114,Itasca,146,0,28,30,NWNW,4.79,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3628 Stat. 166-167 (1857); 11 Stat. 285 (1858),123116,Itasca,147,0,28,19,SWNE,22.75,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3629 Stat. 166-167 (1857); 11 Stat. 285 (1858),123117,Itasca,147,0,28,19,NENW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3630 Stat. 166-167 (1857); 11 Stat. 285 (1858),123118,Itasca,147,0,28,19,NWNW,39.77,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3631 Stat. 166-167 (1857); 11 Stat. 285 (1858),123119,Itasca,147,0,28,19,SWNW,52.29,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3632 Stat. 166-167 (1857); 11 Stat. 285 (1858),123120,Itasca,147,0,28,19,SENW,39.25,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3633 Stat. 166-167 (1857); 11 Stat. 285 (1858),123121,Itasca,147,0,28,19,NESW,35.5,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3634 Stat. 166-167 (1857); 11 Stat. 285 (1858),123122,Itasca,147,0,28,28,SWSW,19,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3635 Stat. 166-167 (1857); 11 Stat. 285 (1858),123123,Itasca,147,0,28,29,SWSW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3636 Stat. 166-167 (1857); 11 Stat. 285 (1858),123124,Itasca,147,0,28,29,SESE,30,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3637 Stat. 166-167 (1857); 11 Stat. 285 (1858),123125,Itasca,147,0,28,30,NWSW,39.74,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3638 Stat. 166-167 (1857); 11 Stat. 285 (1858),123126,Itasca,147,0,28,30,SWSW,39.7,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3639 Stat. 166-167 (1857); 11 Stat. 285 (1858),123127,Itasca,147,0,28,30,SESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3640 Stat. 166-167 (1857); 11 Stat. 285 (1858),123128,Itasca,147,0,28,30,SESE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3641 Stat. 166-167 (1857); 11 Stat. 285 (1858),123129,Itasca,147,0,28,32,NENE,39.35,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3642 Stat. 166-167 (1857); 11 Stat. 285 (1858),123130,Itasca,147,0,28,32,SWNE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3643 Stat. 166-167 (1857); 11 Stat. 285 (1858),123131,Itasca,147,0,28,32,SENE,27.4,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3644 Stat. 166-167 (1857); 11 Stat. 285 (1858),123132,Itasca,147,0,28,32,NWNW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3645 Stat. 166-167 (1857); 11 Stat. 285 (1858),123133,Itasca,147,0,28,32,SWNW,40,100,TRUST FUND: SWAMP
