objectid,quad,township,range,section_,county_cd,county_abr,county_nam,bene_cd,bene_abrev,parcel_lay,parcel_seq,legal_desc,acres,lin,block_id,globalid,Shape__Are,Shape__Len
416614,"4",6.000000000000000,21.000000000000000,"14","24",UINT,Uintah,"10",SCH,"4","2","LOTS 7(31.90), 8(42.00) [AKA PART OF E2SW4]",73.900000000000006,4T6.0R21.0S14C24_B10PT0L4_SQ2,Undefined,{FBB18AAC-3D41-4C29-90F3-A20B1B4E6AEC},291970.070050093403552,2338.444008628786378
416615,"4",6.000000000000000,21.000000000000000,"16","24",UINT,Uintah,"10",SCH,"4","1",ALL,640.000000000000000,4T6.0R21.0S16C24_B10PT0L4_SQ1,Undefined,{5F78CB8E-2601-42D5-BF04-DE62C4FA5F93},2596714.443100719247013,6445.997454254300465
416616,"4",6.000000000000000,21.000000000000000,"25","24",UINT,Uintah,"10",SCH,"4","1",LOT 5 [PART OF SW4SE4],36.700000000000003,4T6.0R21.0S25C24_B10PT0L4_SQ1,Undefined,{9991EACF-B8EB-4264-B5C3-13DB3FC76DDC},141889.183750453696121,1515.354217813076730
416617,"4",6.000000000000000,21.000000000000000,"27","24",UINT,Uintah,"10",SCH,"4","1",LOT 4 [PART OF SW4NE4],34.000000000000000,4T6.0R21.0S27C24_B10PT0L4_SQ1,Undefined,{E68948BD-EAA0-4ACC-BDFD-4ACC9C26737B},139670.086050253012218,1527.641881323474536
416618,"4",6.000000000000000,21.000000000000000,"28","24",UINT,Uintah,"2",DEAF,"4","1",LOT 1 [NE4NW4],39.020000000000003,4T6.0R21.0S28C24_B2PT0L4_SQ1,Undefined,{3A2D8505-85B7-4E75-A6D1-C4E36E2F460A},159305.514000037452206,1570.887090821649963
416619,"4",6.000000000000000,21.000000000000000,"28","24",UINT,Uintah,"9",RES,"4","1",LOT 2 [PART OF NW4NW4],28.480000000000000,4T6.0R21.0S28C24_B9PT0L4_SQ1,Undefined,{74287A58-B347-49B8-A782-02978777E2D9},114429.946600089751882,1392.270428989789707
416620,"4",6.000000000000000,21.000000000000000,"29","24",UINT,Uintah,"9",RES,"4","1",LOT 4 [PART OF SW4NE4],40.549999999999997,4T6.0R21.0S29C24_B9PT0L4_SQ1,Undefined,{95551F60-51F0-4E93-A1CC-9EF246E3F523},158599.375299797247862,1639.605603108118430
416621,"4",6.000000000000000,21.000000000000000,"32","24",UINT,Uintah,"10",SCH,"4","1","LOTS 1(39.10), 3(10.20), 8(1.50), 9(3.50), NE4SW4 [LOTS AKA SW4NW4, PART OF S2SW4SE4, PART OF SE4SE4]",94.299999999999997,4T6.0R21.0S32C24_B10PT0L4_SQ1,Undefined,{60C6E848-C69A-4987-8F23-B6B95FE25CC4},390590.221900059666950,5930.905713645140168
416622,"4",6.000000000000000,21.000000000000000,"32","24",UINT,Uintah,"10",SCH,"4","2","NE4, N2NW4, SE4NW4, NE4SE4",320.000000000000000,4T6.0R21.0S32C24_B10PT0L4_SQ2,Undefined,{6DEFE2CF-80C0-4B2C-843D-6CAF2EE1DB22},1312413.255399284185842,5688.673018940109614
416623,"4",6.000000000000000,21.000000000000000,"36","24",UINT,Uintah,"10",SCH,"4","2","LOTS 1(31.70), 5(15.40) [AKA PART OF NE4NE4, PART OF SW4NE4]",47.100000000000001,4T6.0R21.0S36C24_B10PT0L4_SQ2,Undefined,{DF020371-0BC2-48A3-832F-8F589CB5998A},184908.583149639132898,2595.119011276535275
416624,"4",6.000000000000000,21.000000000000000,"36","24",UINT,Uintah,"10",SCH,"4","3","LOTS 2(16.62), 3(39.88), 4(31.50), 7(49.00), 8(26.00), SE4NE4, W2NW4, NE4SE4, S2SE4 [LOTS AKA PART OF NW4NE4, PART OF E2NW4, PART OF N2SW4, PART OF SW4SW4]",403.000000000000000,4T6.0R21.0S36C24_B10PT0L4_SQ3,Undefined,{E06A04F4-1E9E-410A-9477-A89D860263A0},1585032.589499980211258,8759.210080406086490
