objectid,quad,township,range,section_,county_cd,county_abr,county_nam,bene_cd,bene_abrev,parcel_lay,parcel_seq,legal_desc,acres,lin,admin,quad_lbl,merid,trs_label,globalid,gis_acres,block_id,Shape__Are,Shape__Len
291947,"4",14.000000000000000,25.000000000000000,"16","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T14.0R25.0S16C24_B10PT0L1_SQ1,,,,,{7EE5C742-24D0-4203-B422-5B611D65F4CB},639.754247569999961,Undefined,2588993.585550458170474,6436.141846852252456
291952,"4",5.000000000000000,20.000000000000000,"32","24",UINT,Uintah,"10",SCH,"1","1","LOTS 1(45.11), 2(44.84), 3(44.58), 4(44.31), N2, N2S2 [ALL]",658.840000000000032,4T5.0R20.0S32C24_B10PT0L1_SQ1,,,,,{C5F1AC51-C064-46EB-8210-756C645F6B26},657.463775179999971,Undefined,2660661.501099764835089,6524.936012173808194
292007,"4",9.000000000000000,20.000000000000000,"36","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T9.0R20.0S36C24_B10PT0L1_SQ1,,,,,{211834B5-D39D-4BE6-BE2D-4A1240C58FE9},653.289206020000051,Natural Buttes Block,2643767.619050525128841,6497.800158365294010
292014,"7",1.000000000000000,10.000000000000000,"12","26",WSTH,Wasatch,"10",SCH,"1","1","SW4, S2SE4",240.000000000000000,7T1.0R10.0S12C26_B10PT0L1_SQ1,,,,,{6E92AA51-6DC3-43CB-90E8-9F4026C50695},240.654083390000011,Tabby Mountain Block,973892.522950598970056,4837.279350008921938
292057,"4",9.000000000000000,21.000000000000000,"31","24",UINT,Uintah,"10",SCH,"1","1",LOT 3 (NW4SW4),50.469999999999999,4T9.0R21.0S31C24_B10PT0L1_SQ1,,,,,{47DCE36F-34D7-4900-BC3D-3C6FE62FAB9D},51.358567680000000,Natural Buttes Block,207840.749449495808221,1836.741919947330643
292061,"4",16.000000000000000,21.000000000000000,"5","10",GRND,Grand,"10",SCH,"1","1",SW4SE4,40.000000000000000,4T16.0R21.0S5C10_B10PT0L1_SQ1,,,,,{BD3C6029-64A6-4132-9986-27AB3D09DE2B},39.801978800000001,PR Springs Block,161072.893549796950538,1605.358384707666801
292067,"7",1.000000000000000,8.000000000000000,"18","7",DUCH,Duchesne,"10",SCH,"1","2",LOT 4 [SW4SW4],35.090000000000003,7T1.0R8.0S18C7_B10PT0L1_SQ2,,,,,{737A3894-8DDD-47C8-A70A-E1B34EDF9C7E},35.147530109999998,Tabby Mountain Block,142237.007949901220854,1512.205889283613033
292113,"7",1.000000000000000,10.000000000000000,"10","26",WSTH,Wasatch,"10",SCH,"1","1","S2SW4, SE4, SE4NE4",280.000000000000000,7T1.0R10.0S10C26_B10PT0L1_SQ1,,,,,{5B8401AE-CDA5-4333-AF79-A3744110B094},277.717625209999994,Tabby Mountain Block,1123883.355199327925220,5610.441315842772383
292120,"4",7.000000000000000,24.000000000000000,"2","24",UINT,Uintah,"10",SCH,"1","1",ALL,884.399999999999977,4T7.0R24.0S2C24_B10PT0L1_SQ1,,,,,{F92AC7CC-094B-4636-A9BD-7C7AA4B73E49},882.899776670000051,Undefined,3572968.631549778394401,7659.281566523992296
292136,"4",10.000000000000000,22.000000000000000,"25","24",UINT,Uintah,"10",SCH,"1","9",S2NE4,80.000000000000000,4T10.0R22.0S25C24_B10PT0L1_SQ9,,,,,{B20F0653-C264-49BD-87C6-58071236508B},79.506794950000000,Natural Buttes Block,321752.583749713608995,2405.481950314884671
292139,"7",1.000000000000000,8.000000000000000,"18","7",DUCH,Duchesne,"10",SCH,"1","1","LOTS 1(35.01), 2(35.04), 3(35.06), E2, E2W2 [LOTS AKA W2NW4, NW4SW4]",585.110000000000014,7T1.0R8.0S18C7_B10PT0L1_SQ1,,,,,{55817FDF-8109-43E9-9BF0-02ECE8F98B33},585.850593419999996,Tabby Mountain Block,2370853.236549243330956,6345.174152777593918
292168,"4",9.000000000000000,17.000000000000000,"36","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T9.0R17.0S36C24_B10PT0L1_SQ1,,,,,{59B85FF8-056E-474A-B358-0F182114D3E8},640.037895479999975,Undefined,2590141.467900356277823,6437.582221512751858
292188,"4",14.000000000000000,16.000000000000000,"36","4",CARB,Carbon,"10",SCH,"1","1",ALL,640.000000000000000,4T14.0R16.0S36C4_B10PT0L1_SQ1,,,,,{69D93CA9-238C-41D8-AB61-8864DCB8514A},640.947227050000038,Undefined,2593821.402199779637158,6442.356113559303594
292193,"7",1.000000000000000,9.000000000000000,"27","7",DUCH,Duchesne,"10",SCH,"1","1",ALL,640.000000000000000,7T1.0R9.0S27C7_B10PT0L1_SQ1,,,,,{AD13021C-5DF5-487D-988F-BAC61A9B7B3E},650.562732009999991,Tabby Mountain Block,2632733.970201224088669,6490.327226917334883
292202,"7",1.000000000000000,9.000000000000000,"31","26",WSTH,Wasatch,"10",SCH,"1","1","LOTS 1-4, E2, E2W2 (ALL)",630.080000000000041,7T1.0R9.0S31C26_B10PT0L1_SQ1,,,,,{8638C3EB-4001-4C5B-8637-B67A63D7DD93},630.922516009999981,Tabby Mountain Block,2553252.835948317777365,6388.287800961860739
292210,"4",6.000000000000000,22.000000000000000,"10","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T6.0R22.0S10C24_B10PT0L1_SQ1,,,,,{980ABE34-8256-4FFA-8502-D170318F782C},664.670922710000013,Asphalt Ridge Block,2689827.792350749950856,6560.644775683778789
292230,"4",10.000000000000000,22.000000000000000,"25","24",UINT,Uintah,"10",SCH,"1","11",S2SE4,80.000000000000000,4T10.0R22.0S25C24_B10PT0L1_SQ11,,,,,{3DA57165-242F-47E7-94B4-DB06CE803DA4},79.842411819999995,Natural Buttes Block,323110.777050002245232,2410.643381160069566
292241,"4",6.000000000000000,22.000000000000000,"5","24",UINT,Uintah,"10",SCH,"1","3",LOT 3 (S2S2NE4NW4),7.560000000000000,4T6.0R22.0S5C24_B10PT0L1_SQ3,,,,,{14448018-E023-4C0C-8240-29CCB2205BAF},7.507493850000000,Asphalt Ridge Block,30381.749700034775742,955.628301622976096
