state,managing_agency,rights_type,state_enabling_act,activity,objectid,township,range,section,county,bene_cd,bene_abrev,legal_desc,acres
UT,Trust Lands Administration,Subsurface,74 Stat. 107-110 (1894),Oil and gas,406456,6,21,32,Uintah,10,SCH,"LOTS 1(39.10), 3(10.20), 8(1.50), 9(3.50), NE4SW4 [LOTS AKA SW4NW4, PART OF S2SW4SE4, PART OF SE4SE4]",94.299999999999997
UT,Trust Lands Administration,Subsurface,75 Stat. 107-110 (1894),Oil and gas,406457,6,21,32,Uintah,10,SCH,"NE4, N2NW4, SE4NW4, NE4SE4",320.000000000000000
UT,Trust Lands Administration,Subsurface,76 Stat. 107-110 (1894),Oil and gas,406458,6,21,36,Uintah,10,SCH,"LOTS 1(31.70), 5(15.40) [AKA PART OF NE4NE4, PART OF SW4NE4]",47.100000000000001
UT,Trust Lands Administration,Subsurface,77 Stat. 107-110 (1894),Oil and gas,406459,6,21,36,Uintah,10,SCH,"LOTS 2(16.62), 3(39.88), 4(31.50), 7(49.00), 8(26.00), SE4NE4, W2NW4, NE4SE4, S2SE4 [LOTS AKA PART OF NW4NE4, PART OF E2NW4, PART OF N2SW4, PART OF SW4SW4]",403.000000000000000
UT,Trust Lands Administration,Subsurface,78 Stat. 107-110 (1894),Oil and gas,406460,6,22,2,Uintah,10,SCH,"LOTS 1(7.08), 2(7.09), 3(7.10), 4(7.12), S2NW4, SW4 [LOTS AKA N2N2]",268.389999999999986
UT,Trust Lands Administration,Subsurface,79 Stat. 107-110 (1894),Oil and gas,406461,6,22,3,Uintah,10,SCH,"LOTS 1(7.31), 2(7.53), 3(7.75), 4(7.97), SE4NW4, S2SW4, SE4 [LOTS AKA N2N2]",310.560000000000002
UT,Trust Lands Administration,Subsurface,80 Stat. 107-110 (1894),Oil and gas,406462,6,22,3,Uintah,10,SCH,S2NE4,80.000000000000000
UT,Trust Lands Administration,Subsurface,81 Stat. 107-110 (1894),Oil and gas,406463,6,22,4,Uintah,10,SCH,"LOTS 2(7.89), 3(7.79), 4(7.69), SW4NE4, S2NW4 [LOTS AKA NW4NE4, N2NW4]",143.370000000000005
UT,Trust Lands Administration,Subsurface,82 Stat. 107-110 (1894),Oil and gas,406464,6,22,4,Uintah,10,SCH,"LOT 1(7.99), S2 [LOT AKA NE4NE4]",327.990000000000009
UT,Trust Lands Administration,Subsurface,83 Stat. 107-110 (1894),Oil and gas,406465,6,22,5,Uintah,10,SCH,"LOTS 1(7.62), 2(7.58), 3(7.54), 4(7.50), S2N2, S2 [ALL]",510.240000000000009
UT,Trust Lands Administration,Subsurface,84 Stat. 107-110 (1894),Oil and gas,406466,6,22,6,Uintah,10,SCH,"LOTS 1(7.56), 2(7.72), 3(7.88), 4(8.55), 5(40.20), 6(41.09), 7(41.98), S2NE4, SE4NW4, E2SW4, SE4 [ALL]",514.980000000000018
UT,Trust Lands Administration,Subsurface,85 Stat. 107-110 (1894),Oil and gas,406467,6,22,7,Uintah,10,SCH,"LOT 3(24.00), SW4NW4, NW4SW4 [LOT AKA PART OF SE4NW4]",104.000000000000000
UT,Trust Lands Administration,Subsurface,86 Stat. 107-110 (1894),Oil and gas,406468,6,22,7,Uintah,10,SCH,"NW4NE4, N2NW4",120.000000000000000
UT,Trust Lands Administration,Subsurface,87 Stat. 107-110 (1894),Oil and gas,406469,6,22,9,Uintah,10,SCH,"LOTS 1(35.65), 2(26.60), 5(30.40), N2, N2SE4, SE4SE4 [LOTS AKA PART OF N2SW4, PART OF SW4SE4]",532.649999999999977
UT,Trust Lands Administration,Subsurface,88 Stat. 107-110 (1894),Oil and gas,406470,6,22,10,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,89 Stat. 107-110 (1894),Oil and gas,406471,6,22,11,Uintah,10,SCH,"SW4NE4, W2, NW4SE4",400.000000000000000
UT,Trust Lands Administration,Subsurface,90 Stat. 107-110 (1894),Oil and gas,406472,6,22,15,Uintah,10,SCH,"N2NE4, NW4NW4",120.000000000000000
UT,Trust Lands Administration,Subsurface,91 Stat. 107-110 (1894),Oil and gas,406473,6,22,15,Uintah,10,SCH,NE4NW4,40.000000000000000
UT,Trust Lands Administration,Subsurface,92 Stat. 107-110 (1894),Oil and gas,406474,6,22,16,Uintah,10,SCH,"LOT 1(32.00), 4(1.35) [AKA PART OF NE4NE4]",33.350000000000001
UT,Trust Lands Administration,Subsurface,93 Stat. 107-110 (1894),Oil and gas,406475,6,22,16,Uintah,10,SCH,"S2NW4, S2",400.000000000000000
UT,Trust Lands Administration,Subsurface,94 Stat. 107-110 (1894),Oil and gas,406476,6,22,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,95 Stat. 107-110 (1894),Oil and gas,406477,6,22,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,96 Stat. 107-110 (1894),Oil and gas,406478,6,23,2,Uintah,10,SCH,"LOTS 1(7.90), 2(7.74), 3(7.58), 4(7.42), S2N2, S2 [ALL]",510.639999999999986
UT,Trust Lands Administration,Subsurface,97 Stat. 107-110 (1894),Oil and gas,406479,6,23,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,98 Stat. 107-110 (1894),Oil and gas,406480,6,23,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,99 Stat. 107-110 (1894),Oil and gas,406481,6,23,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,100 Stat. 107-110 (1894),Oil and gas,406487,6,24,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,101 Stat. 107-110 (1894),Oil and gas,406488,6,24,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,102 Stat. 107-110 (1894),Oil and gas,406494,6,25,32,Uintah,10,SCH,"W2E2, W2, SE4SE4",520.000000000000000
UT,Trust Lands Administration,Subsurface,103 Stat. 107-110 (1894),Oil and gas,406496,6,25,36,Uintah,10,SCH,"LOTS 3(45.00), 4(44.96), 8(41.65), 9(41.07), 10(41.13), 11(41.71) [AKA W2NW4, SW4]",255.520000000000010
UT,Trust Lands Administration,Subsurface,104 Stat. 107-110 (1894),Oil and gas,406497,6,25,36,Uintah,10,SCH,"LOTS 1(5.64), 2(43.20), 5(43.15), 6(5.28), 7(4.95), 12(4.67) [AKA W2E2, E2NW4]",106.890000000000001
UT,Trust Lands Administration,Subsurface,105 Stat. 107-110 (1894),Oil and gas,406504,7,19,2,Uintah,10,SCH,"LOTS 1(41.92), 2(47.42), 3(28.65), 4(12.02), 5(35.32), SE4NE4, NE4SE4 [ALL]",245.330000000000013
UT,Trust Lands Administration,Subsurface,106 Stat. 107-110 (1894),Oil and gas,406505,7,20,2,Uintah,10,SCH,"LOTS 1(40.58), 2(40.67), 3(40.77), 4(40.86), S2N2, S2 [ALL]",642.879999999999995
UT,Trust Lands Administration,Subsurface,107 Stat. 107-110 (1894),Oil and gas,406506,7,20,16,Uintah,10,SCH,"NW4NE4, SE4NE4",80.000000000000000
UT,Trust Lands Administration,Subsurface,108 Stat. 107-110 (1894),Oil and gas,406507,7,20,32,Uintah,10,SCH,"NW4, NW4SW4",200.000000000000000
UT,Trust Lands Administration,Subsurface,109 Stat. 107-110 (1894),Oil and gas,406508,7,20,32,Uintah,10,SCH,NW4NE4,40.000000000000000
UT,Trust Lands Administration,Subsurface,110 Stat. 107-110 (1894),Oil and gas,406509,7,20,36,Uintah,10,SCH,"N2, SW4, NW4SE4",520.000000000000000
UT,Trust Lands Administration,Subsurface,111 Stat. 107-110 (1894),Oil and gas,406510,7,20,36,Uintah,10,SCH,"NE4SE4, S2SE4",120.000000000000000
UT,Trust Lands Administration,Subsurface,112 Stat. 107-110 (1894),Oil and gas,406511,7,21,2,Uintah,10,SCH,"LOTS 4(20.50), 5(4.90), 6(39.40), 7(35.00), 8(30.50), SW4NW4, S2 [LOTS AKA PART OF S2NE4, PART OF S2N2NW4, PART OF SE4NW4]",490.300000000000011
UT,Trust Lands Administration,Subsurface,113 Stat. 107-110 (1894),Oil and gas,406512,7,21,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,114 Stat. 107-110 (1894),Oil and gas,406513,7,21,19,Uintah,9,RES,NW4NE4,40.000000000000000
UT,Trust Lands Administration,Subsurface,115 Stat. 107-110 (1894),Oil and gas,406514,7,21,29,Uintah,10,SCH,"LOTS 5(19.00), 6(30.00), 7(32.00), 8(9.10), 10(29.00), 11(37.30), 12(13.00), 13(40.00), 14(19.00), N2SW4, NW4SE4 [LOTS AKA PART OF S2S2N2, PART OF S2SW4, PART OF NE4SE4, PART OF S2SE4]",348.399999999999977
UT,Trust Lands Administration,Subsurface,116 Stat. 107-110 (1894),Oil and gas,406515,7,21,31,Uintah,10,SCH,"LOTS 5(6.27), 6(5.40), 7(32.00), 8(36.90), 9(0.08) [AKA PART OF NW4SE4NE4, PART OF N2SW4, PART OF NW4NW4SE4, PART OF SE4SE4SE4SE4]",80.650000000000006
UT,Trust Lands Administration,Subsurface,117 Stat. 107-110 (1894),Oil and gas,406516,7,21,32,Uintah,10,SCH,"LOTS 1(39.00), 2(11.23), 3(29.00), 6(4.55), 7(37.25), 8(22.80), 9(46.20) [AKA PART OF NW4NE4, PART OF SW4NE4, PART OF NW4NW4, PART OF SE4NW4, PART OF SW4, PART OF NW4SE4]",190.030000000000001
UT,Trust Lands Administration,Subsurface,118 Stat. 107-110 (1894),Oil and gas,406517,7,21,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,119 Stat. 107-110 (1894),Oil and gas,406518,7,22,2,Uintah,10,SCH,"LOTS 1(25.14), 2(24.39), 3(23.63), 4(22.88), 5(40.00), 6(40.00), 7(40.00), 8(40.00), S2N2, S2 [ALL]",736.039999999999964
UT,Trust Lands Administration,Subsurface,120 Stat. 107-110 (1894),Oil and gas,406519,7,22,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,121 Stat. 107-110 (1894),Oil and gas,406520,7,22,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,122 Stat. 107-110 (1894),Oil and gas,406521,7,22,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,123 Stat. 107-110 (1894),Oil and gas,406522,7,23,2,Uintah,10,SCH,"LOTS 1(20.80), 2(20.82), 3(20.86), 4(20.88), 5(40.00), 6(40.00), 7(40.00), 8(40.00), 9(40.00), 10(40.00), 11(40.00), 12(40.00), S2N2, S2 [ALL]",883.360000000000014
UT,Trust Lands Administration,Subsurface,124 Stat. 107-110 (1894),Oil and gas,406523,7,23,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,125 Stat. 107-110 (1894),Oil and gas,406524,7,23,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,126 Stat. 107-110 (1894),Oil and gas,406525,7,23,36,Uintah,10,SCH,ALL,640.000000000000000
