state,managing_agency,rights_type,state_enabling_act,objectid,township,range,section,county,bene_cd,bene_abrev,aliquot,acres
UT,Trust Lands Administration,Surface,135 Stat. 107-110 (1894),291488,6,24,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,136 Stat. 107-110 (1894),291492,6,22,3,Uintah,10,SCH,LOT 2 [S2NW4NE4],7.530000000000000
UT,Trust Lands Administration,Surface,137 Stat. 107-110 (1894),291497,6,21,25,Uintah,10,SCH,LOT 5 [PART OF SW4SE4],36.700000000000003
UT,Trust Lands Administration,Surface,138 Stat. 107-110 (1894),291513,8,24,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,139 Stat. 107-110 (1894),291527,9,15,2,Duchesne,10,SCH,"LOTS 1(40.28), 2(40.35), 3(40.43), 4(23.68), 5(36.33), S2NE4, SE4NW4, S2 [ALL]",621.070000000000050
UT,Trust Lands Administration,Surface,140 Stat. 107-110 (1894),291562,9,22,2,Uintah,10,SCH,"LOTS 1(38.30), 2(38.50), 3(38.70), 4(38.90), S2N2, S2 [ALL]",634.399999999999977
UT,Trust Lands Administration,Surface,141 Stat. 107-110 (1894),291579,6,19,36,Uintah,10,SCH,"N2, SW4, N2SE4",560.000000000000000
UT,Trust Lands Administration,Surface,142 Stat. 107-110 (1894),291593,6,22,3,Uintah,10,SCH,LOT 4 [S2NW4NW4],7.970000000000000
UT,Trust Lands Administration,Surface,143 Stat. 107-110 (1894),291606,13,23,9,Uintah,10,SCH,"SW4SW4NW4NW4, W2NW4SW4NW4, NW4SW4SW4NW4",10.000000000000000
UT,Trust Lands Administration,Surface,144 Stat. 107-110 (1894),291626,12,22,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,145 Stat. 107-110 (1894),291628,12,25,18,Uintah,10,SCH,N2NW4,80.000000000000000
UT,Trust Lands Administration,Surface,146 Stat. 107-110 (1894),291634,9,23,13,Uintah,10,SCH,NE4NW4,40.000000000000000
UT,Trust Lands Administration,Surface,147 Stat. 107-110 (1894),291643,6,22,3,Uintah,10,SCH,LOT 3 [S2NE4NW4],7.750000000000000
UT,Trust Lands Administration,Surface,148 Stat. 107-110 (1894),291655,1,9,19,Wasatch,10,SCH,"LOTS 1-4, E2, E2W2 (ALL)",628.480000000000018
UT,Trust Lands Administration,Surface,149 Stat. 107-110 (1894),291695,1,8,17,Duchesne,10,SCH,ALL,640.000000000000000
