gis_acres,state,managing_agency,rights_type,township,range,section,county,bene_cd,bene_abrev,aliquot,acres,state_enabling_act,object_id
644.966,UT,Trust Lands Administration,Surface,8,25,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),162
638.532,UT,Trust Lands Administration,Surface,6,23,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),163
454.647,UT,Trust Lands Administration,Surface,15,22,32,Grand,10,Public Schools,"LOTS 1(34.26), 2(34.28), 3(34.28), 4(34.30), S2 [ALL]",457.120000000000005,28 Stat. 107-110 (1894),164
643.754,UT,Trust Lands Administration,Surface,5,21,32,Uintah,10,Public Schools,"LOTS 1(40.06), 2(40.69), 3(41.36), 4(41.51), N2, N2S2 [ALL]",643.620000000000005,28 Stat. 107-110 (1894),165
39.795,UT,Trust Lands Administration,Surface,9,22,30,Uintah,10,Public Schools,SE4SE4,40.000000000000000,28 Stat. 107-110 (1894),166
640.873,UT,Trust Lands Administration,Surface,8,16,36,Duchesne,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),167
40.041,UT,Trust Lands Administration,Surface,6,22,6,Uintah,10,Public Schools,SE4NW4,40.000000000000000,28 Stat. 107-110 (1894),168
40.868,UT,Trust Lands Administration,Surface,10,21,4,Uintah,10,Public Schools,LOT 2 (NW4NE4),42.280000000000001,28 Stat. 107-110 (1894),169
479.879,UT,Trust Lands Administration,Surface,9,25,10,Uintah,10,Public Schools,"S2N2, S2",480.000000000000000,28 Stat. 107-110 (1894),170
40.968,UT,Trust Lands Administration,Surface,9,22,31,Uintah,10,Public Schools,SE4SW4,40.000000000000000,28 Stat. 107-110 (1894),171
639.51,UT,Trust Lands Administration,Surface,10,17,32,Duchesne,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),172
161.483,UT,Trust Lands Administration,Surface,10,21,31,Uintah,10,Public Schools,SE4,160.000000000000000,28 Stat. 107-110 (1894),173
40.412,UT,Trust Lands Administration,Surface,10,20,24,Uintah,10,Public Schools,SE4NW4,40.000000000000000,28 Stat. 107-110 (1894),174
159.825,UT,Trust Lands Administration,Surface,10,22,12,Uintah,10,Public Schools,SW4,160.000000000000000,28 Stat. 107-110 (1894),175
41.283,UT,Trust Lands Administration,Surface,9,21,35,Uintah,10,Public Schools,LOT 3 (SE4SW4),41.130000000000003,28 Stat. 107-110 (1894),176
640.001,UT,Trust Lands Administration,Surface,6,24,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),177
658.492,UT,Trust Lands Administration,Surface,9,21,34,Uintah,10,Public Schools,"LOTS 1(42.45), 2(42.91), 3(43.33), 4(43.70), N2, N2S2 [ALL]",652.389999999999986,28 Stat. 107-110 (1894),178
40.027,UT,Trust Lands Administration,Surface,9,25,33,Uintah,10,Public Schools,SE4NW4,40.000000000000000,28 Stat. 107-110 (1894),179
640.364,UT,Trust Lands Administration,Surface,10,18,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),180
638.501,UT,Trust Lands Administration,Surface,14,23,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),181
26.279,UT,Trust Lands Administration,Surface,8,19,32,Uintah,10,Public Schools,ALL,26.120000000000001,28 Stat. 107-110 (1894),182
638.94,UT,Trust Lands Administration,Surface,9,25,20,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),183
639.684,UT,Trust Lands Administration,Surface,9,23,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),184
639.508,UT,Trust Lands Administration,Surface,14,21,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),185
40.453,UT,Trust Lands Administration,Surface,10,20,24,Uintah,10,Public Schools,NW4SW4,40.000000000000000,28 Stat. 107-110 (1894),186
81.491,UT,Trust Lands Administration,Surface,10,21,4,Uintah,10,Public Schools,S2NE4,80.000000000000000,28 Stat. 107-110 (1894),187
641.788,UT,Trust Lands Administration,Surface,11,22,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),188
638.141,UT,Trust Lands Administration,Surface,10,17,16,Duchesne,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),189
40.782,UT,Trust Lands Administration,Surface,6,22,6,Uintah,10,Public Schools,LOT 7 (SW4SW4),40.000000000000000,28 Stat. 107-110 (1894),190
656.322,UT,Trust Lands Administration,Surface,10,21,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),191
80.074,UT,Trust Lands Administration,Surface,9,21,35,Uintah,10,Public Schools,N2SE4,80.000000000000000,28 Stat. 107-110 (1894),192
491.862,UT,Trust Lands Administration,Surface,6,21,2,Uintah,10,Public Schools,"LOTS 1(44.91), 2(45.46), 3(46.00), 4(38.49), 5(36.09), 6(38.84), E2SW4, SE4 [ALL]",489.790000000000020,28 Stat. 107-110 (1894),193
640.318,UT,Trust Lands Administration,Surface,15,24,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),194
42.215,UT,Trust Lands Administration,Surface,6,22,6,Uintah,10,Public Schools,LOT 6 (NW4SW4),40.000000000000000,28 Stat. 107-110 (1894),195
80.889,UT,Trust Lands Administration,Surface,10,20,24,Uintah,10,Public Schools,S2SW4,80.000000000000000,28 Stat. 107-110 (1894),196
158.126,UT,Trust Lands Administration,Surface,10,22,13,Uintah,10,Public Schools,NW4,160.000000000000000,28 Stat. 107-110 (1894),197
654.55,UT,Trust Lands Administration,Surface,6,20,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),198
639.235,UT,Trust Lands Administration,Surface,8,23,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),199
44.235,UT,Trust Lands Administration,Surface,10,21,31,Uintah,10,Public Schools,LOT 2,40.680000000000000,28 Stat. 107-110 (1894),200
647.025,UT,Trust Lands Administration,Surface,10,21,20,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),201
640.302,UT,Trust Lands Administration,Surface,9,18,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),202
161.922,UT,Trust Lands Administration,Surface,5,22,33,Uintah,10,Public Schools,SW4,160.000000000000000,28 Stat. 107-110 (1894),203
28.595,UT,Trust Lands Administration,Surface,9,22,31,Uintah,10,Public Schools,LOT 3,28.059999999999999,28 Stat. 107-110 (1894),204
81.905,UT,Trust Lands Administration,Surface,6,22,9,Uintah,10,Public Schools,W2NE4,80.000000000000000,28 Stat. 107-110 (1894),205
41.4,UT,Trust Lands Administration,Surface,6,22,9,Uintah,10,Public Schools,SE4NE4,40.000000000000000,28 Stat. 107-110 (1894),206
39.564,UT,Trust Lands Administration,Surface,1,10,9,Wasatch,10,Public Schools,SE4SE4,40.000000000000000,28 Stat. 107-110 (1894),207
39.652,UT,Trust Lands Administration,Surface,10,22,10,Uintah,10,Public Schools,NE4NW4,40.000000000000000,28 Stat. 107-110 (1894),208
80.522,UT,Trust Lands Administration,Surface,9,21,26,Uintah,10,Public Schools,N2NW4,80.000000000000000,28 Stat. 107-110 (1894),209
44.738,UT,Trust Lands Administration,Surface,10,21,1,Uintah,10,Public Schools,LOT 1 (NE4NE4),42.520000000000003,28 Stat. 107-110 (1894),210
639.415,UT,Trust Lands Administration,Surface,15,25,36,Grand,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),211
640.965,UT,Trust Lands Administration,Surface,10,22,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),212
641.787,UT,Trust Lands Administration,Surface,9,18,2,Uintah,10,Public Schools,ALL,640.399999999999977,28 Stat. 107-110 (1894),213
16.762,UT,Trust Lands Administration,Surface,9,25,30,Uintah,10,Public Schools,LOT 14 (S2SE4SE4),16.890000000000001,28 Stat. 107-110 (1894),214
161.025,UT,Trust Lands Administration,Surface,10,21,19,Uintah,10,Public Schools,NE4,160.000000000000000,28 Stat. 107-110 (1894),215
80.456,UT,Trust Lands Administration,Surface,9,21,26,Uintah,10,Public Schools,N2NE4,80.000000000000000,28 Stat. 107-110 (1894),216
7.524,UT,Trust Lands Administration,Surface,6,22,5,Uintah,10,Public Schools,LOT 2 (S2S2NW4NE4),7.560000000000000,28 Stat. 107-110 (1894),217
281.017,UT,Trust Lands Administration,Surface,10,15,16,Duchesne,10,Public Schools,ALL,283.389999999999986,28 Stat. 107-110 (1894),218
159.66,UT,Trust Lands Administration,Surface,9,25,31,Uintah,10,Public Schools,NW4,160.000000000000000,28 Stat. 107-110 (1894),219
638.682,UT,Trust Lands Administration,Surface,12,24,24,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),220
26.265,UT,Trust Lands Administration,Surface,9,25,30,Uintah,10,Public Schools,LOT 7 (S2NE4SE4),26.250000000000000,28 Stat. 107-110 (1894),221
80.726,UT,Trust Lands Administration,Surface,10,20,24,Uintah,10,Public Schools,S2NE4,80.000000000000000,28 Stat. 107-110 (1894),222
650.219,UT,Trust Lands Administration,Surface,10,21,17,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),223
27.861,UT,Trust Lands Administration,Surface,10,22,7,Uintah,10,Public Schools,LOT 1 (NW4NW4),27.190000000000001,28 Stat. 107-110 (1894),224
639.664,UT,Trust Lands Administration,Surface,13,21,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),225
320.232,UT,Trust Lands Administration,Surface,12,21,32,Uintah,10,Public Schools,N2,320.000000000000000,28 Stat. 107-110 (1894),226
320.106,UT,Trust Lands Administration,Surface,13,22,35,Uintah,10,Public Schools,E2,320.000000000000000,28 Stat. 107-110 (1894),227
36.356,UT,Trust Lands Administration,Surface,6,22,9,Uintah,10,Public Schools,LOT 1 (NE4SW4),35.649999999999999,28 Stat. 107-110 (1894),228
32.271,UT,Trust Lands Administration,Surface,9,25,30,Uintah,10,Public Schools,LOT 5 (SW4NE4),32.350000000000001,28 Stat. 107-110 (1894),229
325.397,UT,Trust Lands Administration,Surface,6,22,11,Uintah,10,Public Schools,W2,320.000000000000000,28 Stat. 107-110 (1894),230
8.957,UT,Trust Lands Administration,Surface,6,22,6,Uintah,10,Public Schools,LOT 4 (S2S2NW4NW4),8.750000000000000,28 Stat. 107-110 (1894),231
638.392,UT,Trust Lands Administration,Surface,1,10,15,Wasatch,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),232
160.698,UT,Trust Lands Administration,Surface,10,22,18,Uintah,10,Public Schools,NE4,160.000000000000000,28 Stat. 107-110 (1894),233
81.2,UT,Trust Lands Administration,Surface,10,22,11,Uintah,10,Public Schools,S2NE4,80.000000000000000,28 Stat. 107-110 (1894),234
646.15,UT,Trust Lands Administration,Surface,6,20,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),235
560.447,UT,Trust Lands Administration,Surface,13,23,5,Uintah,10,Public Schools,"LOTS 2(39.02), 3(39.28), 4(39.53), 7(4.72), W2SW4NE4NE4, SW4NE4, W2NW4SE4NE4, SW4SE4NE4, S2NW4, SW4, W2NE4SE4, SW4SE4NE4SE4, W2SE4, W2NE4SE4SE4, W2SE4SE4, SE4SE4SE4 [LOTS AKA W2NW4NE4NE4, NW4NE4, N2NW4]",560.049999999999955,28 Stat. 107-110 (1894),236
40.403,UT,Trust Lands Administration,Surface,10,21,31,Uintah,10,Public Schools,NE4NW4,40.000000000000000,28 Stat. 107-110 (1894),237
80.194,UT,Trust Lands Administration,Surface,9,21,35,Uintah,10,Public Schools,N2SW4,80.000000000000000,28 Stat. 107-110 (1894),238
39.731,UT,Trust Lands Administration,Surface,9,21,25,Uintah,10,Public Schools,SE4SE4,40.000000000000000,28 Stat. 107-110 (1894),239
95.897,UT,Trust Lands Administration,Surface,9,25,22,Uintah,10,Public Schools,"LOTS 2-3, SW4NW4",98.069999999999993,28 Stat. 107-110 (1894),240
80.534,UT,Trust Lands Administration,Surface,10,22,13,Uintah,10,Public Schools,S2NE4,80.000000000000000,28 Stat. 107-110 (1894),241
639.435,UT,Trust Lands Administration,Surface,9,22,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),242
547.364,UT,Trust Lands Administration,Surface,10,18,36,Uintah,10,Public Schools,ALL,546.730000000000018,28 Stat. 107-110 (1894),243
322.55,UT,Trust Lands Administration,Surface,9,25,28,Uintah,10,Public Schools,S2,320.000000000000000,28 Stat. 107-110 (1894),244
639.731,UT,Trust Lands Administration,Surface,10,18,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),245
164.216,UT,Trust Lands Administration,Surface,10,21,13,Uintah,10,Public Schools,SW4,160.000000000000000,28 Stat. 107-110 (1894),246
39.866,UT,Trust Lands Administration,Surface,15,21,33,Uintah,10,Public Schools,SE4SW4,40.000000000000000,28 Stat. 107-110 (1894),247
51.774,UT,Trust Lands Administration,Surface,9,21,31,Uintah,10,Public Schools,LOT 7 (SW4SE4),49.990000000000002,28 Stat. 107-110 (1894),248
598.849,UT,Trust Lands Administration,Surface,14,25,32,Uintah,10,Public Schools,"LOTS 1-6, E2, N2NW4",596.639999999999986,28 Stat. 107-110 (1894),249
34.007,UT,Trust Lands Administration,Surface,15,21,34,Grand,10,Public Schools,LOT 1 (SE4NE4),33.700000000000003,28 Stat. 107-110 (1894),250
161.185,UT,Trust Lands Administration,Surface,6,22,9,Uintah,10,Public Schools,NW4,160.000000000000000,28 Stat. 107-110 (1894),251
160.422,UT,Trust Lands Administration,Surface,9,21,35,Uintah,10,Public Schools,NE4,160.000000000000000,28 Stat. 107-110 (1894),252
39.261,UT,Trust Lands Administration,Surface,9,22,31,Uintah,10,Public Schools,SE4NW4,40.000000000000000,28 Stat. 107-110 (1894),253
637.67,UT,Trust Lands Administration,Surface,10,25,2,Uintah,10,Public Schools,ALL,642.120000000000005,28 Stat. 107-110 (1894),254
80.027,UT,Trust Lands Administration,Surface,15,23,27,Uintah,10,Public Schools,E2NW4,80.000000000000000,28 Stat. 107-110 (1894),255
633.554,UT,Trust Lands Administration,Surface,11,20,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),256
643.933,UT,Trust Lands Administration,Surface,11,21,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),257
640.412,UT,Trust Lands Administration,Surface,10,16,36,Duchesne,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),258
630.352,UT,Trust Lands Administration,Surface,12,25,30,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),259
641.596,UT,Trust Lands Administration,Surface,13,21,2,Uintah,10,Public Schools,"LOTS 1(40.60), 2(40.59), 3(40.59), 4(40.58), S2N2, S2 [ALL]",642.360000000000014,28 Stat. 107-110 (1894),260
636.168,UT,Trust Lands Administration,Surface,13,20,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),261
40.344,UT,Trust Lands Administration,Surface,10,21,19,Uintah,10,Public Schools,NE4NW4,40.000000000000000,28 Stat. 107-110 (1894),262
311.523,UT,Trust Lands Administration,Surface,12,25,29,Uintah,10,Public Schools,W2,320.000000000000000,28 Stat. 107-110 (1894),263
33.278,UT,Trust Lands Administration,Surface,15,21,33,Grand,10,Public Schools,LOT 2 (SW4NE4),33.039999999999999,28 Stat. 107-110 (1894),264
324.803,UT,Trust Lands Administration,Surface,10,21,28,Uintah,10,Public Schools,N2,320.000000000000000,28 Stat. 107-110 (1894),265
641.642,UT,Trust Lands Administration,Surface,15,25,2,Uintah,10,Public Schools,ALL,641.759999999999991,28 Stat. 107-110 (1894),266
40.412,UT,Trust Lands Administration,Surface,6,22,4,Uintah,10,Public Schools,SW4NE4,40.000000000000000,28 Stat. 107-110 (1894),267
27.656,UT,Trust Lands Administration,Surface,10,22,7,Uintah,10,Public Schools,LOT 2 (SW4NW4),27.030000000000001,28 Stat. 107-110 (1894),268
158.525,UT,Trust Lands Administration,Surface,12,25,7,Uintah,10,Public Schools,S2S2,160.000000000000000,28 Stat. 107-110 (1894),269
7.684,UT,Trust Lands Administration,Surface,6,22,4,Uintah,10,Public Schools,LOT 4 (S2S2NW4NW4),7.690000000000000,28 Stat. 107-110 (1894),270
720.881,UT,Trust Lands Administration,Surface,5,21,36,Uintah,10,Public Schools,"LOTS 1(19.27), 2(40.00), 3(40.00), 4(20.17), 5(21.07), 6(40.00), 7(40.00), 8(21.97), W2E2, W2 [ALL]",722.480000000000018,28 Stat. 107-110 (1894),271
480.395,UT,Trust Lands Administration,Surface,13,22,25,Uintah,10,Public Schools,"S2, NE4",480.000000000000000,28 Stat. 107-110 (1894),272
40.114,UT,Trust Lands Administration,Surface,10,22,13,Uintah,10,Public Schools,NW4NE4,40.000000000000000,28 Stat. 107-110 (1894),273
41.182,UT,Trust Lands Administration,Surface,6,22,11,Uintah,10,Public Schools,SW4NE4,40.000000000000000,28 Stat. 107-110 (1894),274
80.346,UT,Trust Lands Administration,Surface,9,21,27,Uintah,10,Public Schools,N2SW4,80.000000000000000,28 Stat. 107-110 (1894),275
7.916,UT,Trust Lands Administration,Surface,6,22,6,Uintah,10,Public Schools,LOT 3 (S2S2NE4NW4),8.750000000000000,28 Stat. 107-110 (1894),276
39.906,UT,Trust Lands Administration,Surface,9,25,33,Uintah,10,Public Schools,LOT 2 (NW4SW4),40.469999999999999,28 Stat. 107-110 (1894),277
450.178,UT,Trust Lands Administration,Surface,15,25,32,Grand,10,Public Schools,ALL,448.120000000000005,28 Stat. 107-110 (1894),278
39.019,UT,Trust Lands Administration,Surface,9,25,33,Uintah,10,Public Schools,LOT 1 (SW4NW4),39.000000000000000,28 Stat. 107-110 (1894),279
29.267,UT,Trust Lands Administration,Surface,9,25,30,Uintah,10,Public Schools,LOT 8 (NW4SE4),29.230000000000000,28 Stat. 107-110 (1894),280
640.627,UT,Trust Lands Administration,Surface,9,16,36,Duchesne,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),281
642.317,UT,Trust Lands Administration,Surface,1,9,36,Duchesne,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),282
80.439,UT,Trust Lands Administration,Surface,9,21,33,Uintah,10,Public Schools,S2NW4,80.000000000000000,28 Stat. 107-110 (1894),283
639.301,UT,Trust Lands Administration,Surface,9,23,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),284
276.967,UT,Trust Lands Administration,Surface,11,18,16,Uintah,10,Public Schools,"NW4, N2SW4, SW4SW4",280.000000000000000,28 Stat. 107-110 (1894),285
27.348,UT,Trust Lands Administration,Surface,9,22,31,Uintah,10,Public Schools,LOT 2,28.020000000000000,28 Stat. 107-110 (1894),286
640.033,UT,Trust Lands Administration,Surface,13,25,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),287
642.961,UT,Trust Lands Administration,Surface,10,22,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),288
291.565,UT,Trust Lands Administration,Surface,10,25,36,Uintah,10,Public Schools,"LOTS 1(35.91), 2(35.94), 3(35.96), 4(35.99), W2W2 [ALL]",303.800000000000011,28 Stat. 107-110 (1894),289
159.976,UT,Trust Lands Administration,Surface,9,22,31,Uintah,10,Public Schools,E2E2,160.000000000000000,28 Stat. 107-110 (1894),290
361.385,UT,Trust Lands Administration,Surface,6,25,36,Uintah,10,Public Schools,ALL,362.410000000000025,28 Stat. 107-110 (1894),291
164.848,UT,Trust Lands Administration,Surface,10,21,13,Uintah,10,Public Schools,NW4,160.000000000000000,28 Stat. 107-110 (1894),292
639.61,UT,Trust Lands Administration,Surface,1,9,29,Wasatch,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),293
638.772,UT,Trust Lands Administration,Surface,8,17,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),294
639.9,UT,Trust Lands Administration,Surface,8,24,2,Uintah,10,Public Schools,ALL,639.840000000000032,28 Stat. 107-110 (1894),295
638.226,UT,Trust Lands Administration,Surface,9,21,36,Uintah,10,Public Schools,ALL,639.200000000000045,28 Stat. 107-110 (1894),296
40.078,UT,Trust Lands Administration,Surface,10,22,25,Uintah,10,Public Schools,NW4SW4,40.000000000000000,28 Stat. 107-110 (1894),297
160.568,UT,Trust Lands Administration,Surface,6,22,6,Uintah,10,Public Schools,SE4,160.000000000000000,28 Stat. 107-110 (1894),298
104.173,UT,Trust Lands Administration,Surface,6,22,7,Uintah,10,Public Schools,"LOT 3(24.00), SW4NW4, NW4SW4 [LOT AKA PART OF SE4NW4]",104.000000000000000,28 Stat. 107-110 (1894),299
624.469,UT,Trust Lands Administration,Surface,8,22,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),300
81.455,UT,Trust Lands Administration,Surface,6,22,3,Uintah,10,Public Schools,S2SW4,80.000000000000000,28 Stat. 107-110 (1894),301
157.031,UT,Trust Lands Administration,Surface,10,22,13,Uintah,10,Public Schools,SW4,160.000000000000000,28 Stat. 107-110 (1894),302
639.691,UT,Trust Lands Administration,Surface,13,24,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),303
636.411,UT,Trust Lands Administration,Surface,10,23,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),304
40.129,UT,Trust Lands Administration,Surface,11,10,18,Duchesne,10,Public Schools,LOT 2 (NW4NW4),40.770000000000003,28 Stat. 107-110 (1894),305
30.316,UT,Trust Lands Administration,Surface,9,25,30,Uintah,10,Public Schools,LOT 11 (SW4SW4),30.910000000000000,28 Stat. 107-110 (1894),306
696.597,UT,Trust Lands Administration,Surface,13,24,2,Uintah,10,Public Schools,"LOTS 1(14.65), 2(14.35), 3(14.05), 4(13.75), 5(40.00), 6(40.00), 7(40.00), 8(40.00), S2N2, S2 [ALL]",696.799999999999955,28 Stat. 107-110 (1894),307
115.689,UT,Trust Lands Administration,Surface,6,22,7,Uintah,10,Public Schools,"PART OF NW4NE4, N2NW4 [LESS 4.09 ACRES SOLD VIA C-27004] [METES & BOUNDS]",115.909999999999997,28 Stat. 107-110 (1894),308
639.277,UT,Trust Lands Administration,Surface,12,25,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),309
638.885,UT,Trust Lands Administration,Surface,12,24,2,Uintah,10,Public Schools,"LOTS 1(40.04), 2(40.04), 3(40.04), 4(40.04), S2N2, S2 [ALL]",640.159999999999968,28 Stat. 107-110 (1894),310
637.208,UT,Trust Lands Administration,Surface,11,19,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),311
80.846,UT,Trust Lands Administration,Surface,6,22,3,Uintah,10,Public Schools,S2NE4,80.000000000000000,28 Stat. 107-110 (1894),312
640.155,UT,Trust Lands Administration,Surface,10,23,2,Uintah,10,Public Schools,ALL,642.320000000000050,28 Stat. 107-110 (1894),313
158.678,UT,Trust Lands Administration,Surface,10,22,14,Uintah,10,Public Schools,NW4,160.000000000000000,28 Stat. 107-110 (1894),314
74.83,UT,Trust Lands Administration,Surface,1,8,31,Duchesne,10,Public Schools,"LOT 2(35.75), NE4NW4 [LOTS AKA SW4NW4]",75.750000000000000,28 Stat. 107-110 (1894),315
636.159,UT,Trust Lands Administration,Surface,1,10,23,Wasatch,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),316
43.283,UT,Trust Lands Administration,Surface,9,25,30,Uintah,10,Public Schools,LOT 10 (NW4SW4),42.439999999999998,28 Stat. 107-110 (1894),317
41.334,UT,Trust Lands Administration,Surface,10,21,31,Uintah,10,Public Schools,LOT 1,40.939999999999998,28 Stat. 107-110 (1894),318
200.06,UT,Trust Lands Administration,Surface,12,23,32,Uintah,10,Public Schools,"W2W2, SE4SW4",200.000000000000000,28 Stat. 107-110 (1894),319
156.105,UT,Trust Lands Administration,Surface,12,25,29,Uintah,10,Public Schools,W2E2,160.000000000000000,28 Stat. 107-110 (1894),320
55.317,UT,Trust Lands Administration,Surface,1,8,19,Duchesne,10,Public Schools,"LOT 3(35.30), N2NE4NW4 [LOT AKA NW4SW4]",55.299999999999997,28 Stat. 107-110 (1894),321
639.739,UT,Trust Lands Administration,Surface,15,21,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),322
34.032,UT,Trust Lands Administration,Surface,15,22,31,Grand,10,Public Schools,LOT 2 (SW4NE4),34.180000000000000,28 Stat. 107-110 (1894),323
7.477,UT,Trust Lands Administration,Surface,6,22,5,Uintah,10,Public Schools,LOT 4 (S2S2NW4NW4),7.560000000000000,28 Stat. 107-110 (1894),324
7.704,UT,Trust Lands Administration,Surface,6,22,4,Uintah,10,Public Schools,LOT 2 (S2S2NW4NE4),7.890000000000000,28 Stat. 107-110 (1894),325
160.425,UT,Trust Lands Administration,Surface,10,22,19,Uintah,10,Public Schools,NE4,160.000000000000000,28 Stat. 107-110 (1894),326
82.432,UT,Trust Lands Administration,Surface,10,21,12,Uintah,10,Public Schools,N2NE4,80.000000000000000,28 Stat. 107-110 (1894),327
317.613,UT,Trust Lands Administration,Surface,6,22,5,Uintah,10,Public Schools,S2,320.000000000000000,28 Stat. 107-110 (1894),328
639.068,UT,Trust Lands Administration,Surface,13,24,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),329
70.275,UT,Trust Lands Administration,Surface,13,23,29,Uintah,10,Public Schools,"NW4NW4NW4, S2NW4NW4, SW4NW4",70.000000000000000,28 Stat. 107-110 (1894),330
161.212,UT,Trust Lands Administration,Surface,10,22,20,Uintah,10,Public Schools,NW4,160.000000000000000,28 Stat. 107-110 (1894),331
640.325,UT,Trust Lands Administration,Surface,11,21,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),332
40.421,UT,Trust Lands Administration,Surface,10,20,24,Uintah,10,Public Schools,NE4SW4,40.000000000000000,28 Stat. 107-110 (1894),333
40.543,UT,Trust Lands Administration,Surface,10,22,11,Uintah,10,Public Schools,NW4SE4,40.000000000000000,28 Stat. 107-110 (1894),334
40.196,UT,Trust Lands Administration,Surface,1,8,16,Duchesne,10,Public Schools,SE4SE4,40.000000000000000,28 Stat. 107-110 (1894),335
119.018,UT,Trust Lands Administration,Surface,1,10,27,Wasatch,10,Public Schools,"N2NE4, SE4NE4",120.000000000000000,28 Stat. 107-110 (1894),336
640.494,UT,Trust Lands Administration,Surface,12,24,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),337
322.888,UT,Trust Lands Administration,Surface,6,22,4,Uintah,10,Public Schools,S2,320.000000000000000,28 Stat. 107-110 (1894),338
639.359,UT,Trust Lands Administration,Surface,12,24,25,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),339
371.792,UT,Trust Lands Administration,Surface,19,20,21,Grand,10,Public Schools,N2,320.000000000000000,28 Stat. 107-110 (1894),340
638.999,UT,Trust Lands Administration,Surface,9,17,16,Duchesne,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),341
160.676,UT,Trust Lands Administration,Surface,9,21,27,Uintah,10,Public Schools,NE4,160.000000000000000,28 Stat. 107-110 (1894),342
640.804,UT,Trust Lands Administration,Surface,14,24,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),343
641.681,UT,Trust Lands Administration,Surface,1,9,21,Wasatch,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),344
