OBJECTID,state,managing_agency,rights_type,state_enabling_act,Acres,trust_name
457,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",338.61,School and Public Lands
458,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",647.36,School and Public Lands
459,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",322.15,School and Public Lands
460,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",82.18,School and Public Lands
461,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",329.81,School and Public Lands
462,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",168.36,School and Public Lands
463,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",645.5,School and Public Lands
464,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",479.7,School and Public Lands
465,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",649.56,School and Public Lands
466,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",635.66,School and Public Lands
467,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",646.05,School and Public Lands
468,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",641.12,School and Public Lands
469,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",641.08,School and Public Lands
654,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",481.31,School and Public Lands
655,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",633.98,School and Public Lands
656,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",480.36,School and Public Lands
657,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",292.99,School and Public Lands
658,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",314.02,School and Public Lands
659,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",329.06,School and Public Lands
660,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",331.17,School and Public Lands
661,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",641.14,School and Public Lands
662,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",419.87,School and Public Lands
663,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",95.99,School and Public Lands
664,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",158.68,School and Public Lands
665,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",230.41,School and Public Lands
666,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",157.23,School and Public Lands
736,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",177.77,School and Public Lands
737,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",711.42,School and Public Lands
738,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",1066.36,School and Public Lands
739,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",642.06,School and Public Lands
740,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",39.4,School and Public Lands
741,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",151.1,School and Public Lands
742,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",169.8,School and Public Lands
743,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",236,School and Public Lands
744,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",310.85,School and Public Lands
1192,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",164.69,School and Public Lands
1193,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",149.49,School and Public Lands
1194,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",321.88,School and Public Lands
1195,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",80.72,School and Public Lands
1196,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",163.75,School and Public Lands
1197,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",43.64,School and Public Lands
