Asset_Laye,Net_ID,Property_N,Alt_Name,Net_Asset_,ns_int_id,Township,Range,Section,GIS_Legal,Acreage,Parcel_Com,GIS_Acreag,GIS_Differ,Meridian,County,Beneficiar,TRS_Merge,Section_TF,Hyperlink,FAM_url,WebMap_FAM,GlobalID,OBJECTID_1,Shape__Are,Shape__Len
Oil & Gas,FAM016202,,,N-33N-12W-17-Oil & Gas-La Plata-School,16202.000000000000000,33N,12W,17,"SWNW, NWSW",80.000000000000000,,80.654263790000002,-0.654263790000000,New Mexico Meridian,La Plata,School,33N12W17,"17","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16202"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16202,FAM016202 - STAFF USE ONLY,a03da8d0-6e65-4f99-bdd8-086afbea77ec,24780,513491.808593750000000,3058.118308462890127
Other Minerals,FAM034187,,,N-34U-8W-15-Other Minerals-La Plata-School,34187.000000000000000,34U,8W,15,E2NE (South of Ute Line),80.000000000000000,,80.888576400000005,-0.888576400000000,New Mexico Meridian,La Plata,School,34U8W15,"15","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34187"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34187,FAM034187 - STAFF USE ONLY,abef0e83-0a1e-4599-bbab-be8718be2668,5559,516493.769531250000000,3063.898841144529797
Oil & Gas,FAM016322,,,N-34U-8W-15-Oil & Gas-La Plata-School,16322.000000000000000,34U,8W,15,E2NE (South of Ute Line),80.000000000000000,,80.888576400000005,-0.888576400000000,New Mexico Meridian,La Plata,School,34U8W15,"15","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16322"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16322,FAM016322 - STAFF USE ONLY,ad163d83-b120-4c43-a4c7-4ead6fd7b33a,8964,516493.769531250000000,3063.898841144529797
Coal,FAM025245,,,N-34U-8W-15-Coal-La Plata-School,25245.000000000000000,34U,8W,15,E2NE (South of Ute Line),80.000000000000000,,80.888576400000005,-0.888576400000000,New Mexico Meridian,La Plata,School,34U8W15,"15","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25245"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25245,FAM025245 - STAFF USE ONLY,e6498bb1-e140-48f3-a68d-b6268c1ae8bc,26800,516493.769531250000000,3063.898841144529797
Other Minerals,FAM034186,,,N-34U-8W-14-Other Minerals-La Plata-School,34186.000000000000000,34U,8W,14,W2NW (South of Ute Line),80.000000000000000,,81.166613490000003,-1.166613490000000,New Mexico Meridian,La Plata,School,34U8W14,"14","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34186"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34186,FAM034186 - STAFF USE ONLY,a289bdd6-5a45-439e-ab3d-e212ffb280e3,3329,518271.542968750000000,3063.955096733459868
Oil & Gas,FAM016321,,,N-34U-8W-14-Oil & Gas-La Plata-School,16321.000000000000000,34U,8W,14,W2NW (South of Ute Line),80.000000000000000,,81.166613490000003,-1.166613490000000,New Mexico Meridian,La Plata,School,34U8W14,"14","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16321"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16321,FAM016321 - STAFF USE ONLY,f83f095d-1922-4f14-a23f-3b2ccc51ece3,8830,518271.542968750000000,3063.955096733459868
Coal,FAM025244,,,N-34U-8W-14-Coal-La Plata-School,25244.000000000000000,34U,8W,14,W2NW (South of Ute Line),80.000000000000000,,81.166613490000003,-1.166613490000000,New Mexico Meridian,La Plata,School,34U8W14,"14","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25244"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25244,FAM025244 - STAFF USE ONLY,51785517-7fa7-4fe5-a67a-5ba72ad3d418,12252,518271.542968750000000,3063.955096733459868
Other Minerals,FAM034064,,,N-33N-12W-3-Other Minerals-La Plata-School,34064.000000000000000,33N,12W,3,S2SE,80.000000000000000,,81.386283090000006,-1.386283090000000,New Mexico Meridian,La Plata,School,33N12W3,"3","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34064"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34064,FAM034064 - STAFF USE ONLY,99c8b46b-5b3f-4bbf-9813-8028df6c7b7f,2237,518498.292968750000000,3051.289262016260182
Coal,FAM025124,,,N-33N-12W-3-Coal-La Plata-School,25124.000000000000000,33N,12W,3,S2SE,80.000000000000000,,81.386283090000006,-1.386283090000000,New Mexico Meridian,La Plata,School,33N12W3,"3","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25124"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25124,FAM025124 - STAFF USE ONLY,8e54579f-7cc6-4734-b5ab-502fdbc9a530,9779,518498.292968750000000,3051.289262016260182
Oil & Gas,FAM016199,,,N-33N-12W-3-Oil & Gas-La Plata-School,16199.000000000000000,33N,12W,3,S2SE,80.000000000000000,,81.386283090000006,-1.386283090000000,New Mexico Meridian,La Plata,School,33N12W3,"3","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16199"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16199,FAM016199 - STAFF USE ONLY,6af10e4d-5edd-4868-86e7-da59319e20ab,19020,518498.292968750000000,3051.289262016260182
