OBJECTID,OwnershipT,FundCode,SurfaceOwn,Subsurface,Subsurfa_1,SurfaceAcr,ControlSou,PolygonID,Acquisitio,Township_T,Range_Temp,FirstDivis,ParcelName,Calculated,IsActive,IsAuto,GlobalID,CreateDate,UpdateDate,CreateUser,UpdateUser,Access,Shape.STAr,Shape.STLe,gis_acres
22482,"0",CS,Y,"1",27.219999999999999,27.219999999999999,"8",PG15470A,AQ15470,"40","105","16",,26.973134840000000,"1","0",{949C224D-7CB0-492F-A5B5-8F7462995702},2009/06/19 02:00:00.000,2021/07/15 00:29:36.000,tstore,SDE,"2",109156.404167695014621,1346.390464848110014,27.004
26419,"0",GA,Y,"1",160.000000000000000,160.000000000000000,"26",PG00026A,AQ26,"3","2","25",,159.028365809999997,"1","0",{314D34CA-11B1-4B66-A4BB-2764264D1300},2009/06/19 02:00:00.000,2021/07/15 00:32:17.000,tstore,SDE,"1",643564.964740109979175,3208.995378350152805,159.220
26516,"0",AF,Y,"1",0.000000000000000,0.000000000000000,,PG00052A,AQ52,"2","3","15",,269.187441069999977,"1","0",{5FC7A6BA-19E2-45F9-A3DD-E50CA2DB2CFC},2009/06/19 02:00:00.000,2021/07/15 00:32:20.000,tstore,SDE,"1",1089362.926806400064379,5116.130073711717159,269.513
27253,"0",ES,N,"1",80.000000000000000,80.000000000000000,"26",PG00005A,AQ5,"2","1","8",,79.821795929999993,"1","0",{29A72CD7-593A-4DDD-B49F-5DB65C6876AF},2009/06/19 02:00:00.000,2021/07/15 00:32:50.000,tstore,SDE,"1",323027.348129455000162,2409.329088848408446,79.919
28535,"0",SR,Y,"1",47.869999999999997,47.869999999999997,"8",PG15469A,AQ15469,"40","105","4",,56.261188609999998,"1","0",{6C22C69E-1789-46D9-A259-0FC276C1BB2F},2009/06/19 02:00:00.000,2021/07/15 00:33:40.000,tstore,SDE,"1",196782.399913569999626,1790.729878128610153,48.682
133128,"0",GF,Y,"1",10.000000000000000,10.000000000000000,"7",LAND227833,,2N,5E,"26",,,"1","0",{ECAC59E1-7D68-4B0F-8DFC-E81610B15272},2022/07/22 21:02:11.000,2022/07/22 21:22:42.000,SHIANNE.FORNSTROM,SHIANNE.FORNSTROM,"5",40302.212647150001430,1004.276073973538018,9.971
133129,"0",GF,Y,"1",10.000000000000000,10.000000000000000,"7",LAND227832,,2N,5E,"26",,,"1","0",{98816FA6-6DAA-4108-A450-24A9633E73D4},2022/07/22 21:22:18.000,2022/07/22 21:25:14.000,SHIANNE.FORNSTROM,SHIANNE.FORNSTROM,"5",40271.529569530001027,1004.267633051685834,9.963
1059,"0",CS,Y,"1",18.340000000000000,18.340000000000000,"18",PG09994A,AQ9994,"58","84","16",,18.534867479999999,"1","0",{A1FF30D5-FEEF-4B54-9F1D-7B163D65D698},2009/06/19 02:00:00.000,2021/07/15 00:15:27.000,tstore,SDE,"4",75007.947677310003201,3401.863723919142558,18.535
1108,"0",CS,Y,"1",27.219999999999999,27.219999999999999,"18",PG11694A,AQ11694,"58","88","18",,27.723823140000000,"1","0",{57C05E1E-2972-466A-84A7-5565AFD91A3B},2009/06/19 02:00:00.000,2021/07/15 00:15:29.000,tstore,SDE,"4",112194.331956900001387,1359.327527275133207,27.724
1128,"0",CS,Y,"1",23.430000000000000,23.430000000000000,"18",PG10400C,AQ10400,"58","85","16",,25.928771410000000,"1","0",{9CE5CECC-5A3D-4B3C-8437-136420A02E9F},2009/06/19 02:00:00.000,2021/07/15 00:15:30.000,tstore,SDE,"4",104930.015323604995501,1330.063192182003149,25.929
1129,"0",CS,Y,"1",22.809999999999999,22.809999999999999,"18",PG10400B,AQ10400,"58","85","16",,24.698802929999999,"1","0",{FCA14366-522B-4EED-AFAD-AB7874091D35},2009/06/19 02:00:00.000,2021/07/15 00:15:30.000,tstore,SDE,"4",99952.509478079999099,1305.479962404785738,24.699
1130,"0",CS,Y,"1",24.020000000000000,24.020000000000000,"18",PG10400D,AQ10400,"58","85","16",,26.220990230000002,"1","0",{691707E7-C880-4B9D-A494-14ADA907367D},2009/06/19 02:00:00.000,2021/07/15 00:15:30.000,tstore,SDE,"4",106112.582943244997296,1334.670661880345278,26.221
1136,"0",CS,Y,"1",33.859999999999999,33.859999999999999,"18",PG11310A,AQ11310,"58","87","16",,36.768649029999999,"1","0",{09A35BB7-9B07-4A52-943A-45CF7D1F6CF0},2009/06/19 02:00:00.000,2021/07/15 00:15:30.000,tstore,SDE,"1",148797.443785284995101,2045.563006861647636,36.769
1293,"0",CS,Y,"1",35.670000000000002,35.670000000000002,"18",PG11310B,AQ11310,"58","87","16",,37.603026730000003,"1","0",{8686F3BD-CE98-4D60-BF14-7FE9FE2A76E0},2009/06/19 02:00:00.000,2021/07/15 00:15:35.000,tstore,SDE,"1",152174.050516635004897,1953.116272099849994,37.603
1296,"0",CS,Y,"1",25.300000000000001,25.300000000000001,"18",PG11693B,AQ11693,"58","88","16",,25.456327479999999,"1","0",{83EC5E96-E5E8-43F9-BFF7-A11C9029F242},2009/06/19 02:00:00.000,2021/07/15 00:15:36.000,tstore,SDE,"1",103018.102559339997242,1311.857599197400305,25.456
1297,"0",CS,Y,"1",25.539999999999999,25.539999999999999,"18",PG11693C,AQ11693,"58","88","16",,26.375080310000001,"1","0",{DDD6878B-1B9C-401F-A16D-8AC2A04EDBF6},2009/06/19 02:00:00.000,2021/07/15 00:15:36.000,tstore,SDE,"1",106736.163354214993888,1329.129826624233829,26.375
1299,"0",CS,Y,"1",25.789999999999999,25.789999999999999,"18",PG11693D,AQ11693,"58","88","16",,26.100485500000001,"1","0",{A01E418D-BD86-4EC7-ABED-B2BE4799A7ED},2009/06/19 02:00:00.000,2021/07/15 00:15:36.000,tstore,SDE,"1",105624.917605480004568,1328.960761335066991,26.100
5104,"0",CS,Y,"1",22.210000000000001,22.210000000000001,"18",PG10400A,AQ10400,"58","85","16",,23.467452139999999,"1","0",{46935C7A-0B6C-4847-8C15-6D15B7ACFAD6},2009/06/19 02:00:00.000,2021/07/15 00:18:08.000,tstore,SDE,"4",94969.409606689994689,1280.828101424712713,23.468
5123,"0",CS,Y,"1",25.050000000000001,25.050000000000001,"18",PG11693A,AQ11693,"58","88","16",,24.889939330000001,"1","0",{39F2A671-B74C-4073-B21C-4DBA8BB42F4A},2009/06/19 02:00:00.000,2021/07/15 00:18:09.000,tstore,SDE,"1",100726.011023284998373,1301.507348964012181,24.890
5124,"0",CS,Y,"1",27.300000000000001,27.300000000000001,"18",PG11694B,AQ11694,"58","88","18",,29.441604380000001,"1","0",{079E808C-EC4E-4100-AD39-9DF7C7CC279B},2009/06/19 02:00:00.000,2021/07/15 00:18:09.000,tstore,SDE,"4",119145.946022489995812,1393.218144346291865,29.442
